Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"Hi!";[sound:enUS_GREETING_HELLO.mp3];"/haɪ/";"/hai/";"";""
"Guten Tag!";"Hello!";[sound:enUS_GREETING_GOOD_DAY.mp3];"/həˈloʊ/";"/huh-ˈloh/";"Neutral; passt den ganzen Tag.";""
"Tschüss!";"Bye!";[sound:enUS_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"Gern!";"No problem!";[sound:enUS_POLITENESS_PLEASE.mp3];"/noʊ ˈprɑbləm/";"/noh ˈprah-bləm/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Reply to “thanks” (= “you’re welcome”)."
"Danke!";"Thanks!";[sound:enUS_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Vielen Dank!";"Thanks so much!";[sound:enUS_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks soʊ ˈmʌtʃ/";"/thanks soh ˈmuhch/";"";""
"Ja";"Yes";[sound:enUS_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Nein";"No";[sound:enUS_CONFIRMATION_NO.mp3];"/noʊ/";"/noh/";"";""
"Entschuldigung";"Excuse me";[sound:enUS_POLITENESS_EXCUSE_ME.mp3];"/ɪkˈskjuz mi/";"/ik-ˈskyooz mee/";"";""
"Ich heiße …";"I'm …";[sound:enUS_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Freut mich!";"Nice to meet you!";[sound:enUS_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmit ju/";"/nais tə ˈmeet yoo/";"";""
"Wie heißt du?";"What's your name?";[sound:enUS_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wʌts jɚ ˈneɪm/";"/wuts yer ˈnaim/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";""
