Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"¡Hola!";[sound:esCO_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Guten Tag!";"¡Buenas!";[sound:esCO_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Neutral; passt den ganzen Tag.";"Saludo coloquial que funciona todo el día."
"Tschüss!";"¡Chao!";[sound:esCO_FAREWELL_BYE.mp3];"/ˈt͡ʃao/";"/ˈchao/";"";""
"Gern!";"Con gusto";[sound:esCO_POLITENESS_PLEASE.mp3];"/koŋ ˈɡusto/";"/kon ˈgus-to/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia."
"Danke!";"Gracias";[sound:esCO_POLITENESS_THANK_YOU.mp3];"/ˈɡɾasjas/";"/ˈgra-syas/";"";""
"Vielen Dank!";"¡Mil gracias!";[sound:esCO_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾasjas/";"/mil ˈgra-syas/";"";""
"Ja";"Sí";[sound:esCO_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Nein";"No";[sound:esCO_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Entschuldigung";"Perdón";[sound:esCO_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"Ich heiße …";"Me llamo …";[sound:esCO_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Freut mich!";"¡Mucho gusto!";[sound:esCO_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈmut͡ʃo ˈɡusto/";"/ˈmu-cho ˈgus-to/";"";""
"Wie heißt du?";"¿Cómo te llamas?";[sound:esCO_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";"Formal: «¿Cómo se llama?»"
"Ich versteh’s nicht.";"No entiendo.";[sound:esCO_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Sprechen Sie Englisch?";"¿Habla inglés?";[sound:esCO_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβla iŋˈgles/";"/ˈa-bla ing-ˈgles/";"";""
"Ein bisschen langsamer, bitte.";"¿Puede hablar un poquito más despacio, porfa?";[sound:esCO_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðe aβˈlaɾ un poˈkito mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-de ab-ˈlar un po-ˈkee-to mas des-ˈpa-syo ˈpor-fa/";"";""
"Mein Deutsch ist noch nicht so gut.";"Mi español no es muy bueno.";[sound:esCO_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Wie sagt man … auf Deutsch?";"¿Cómo se dice … en español?";[sound:esCO_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈdise en espaˈɲol/";"/ˈko-mo se ˈdee-se en es-pa-ˈnyol/";"";""
"Speisekarte, bitte.";"La carta, porfa.";[sound:esCO_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Kaffee";"Café";[sound:esCO_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";"En Colombia el café negro se pide también como «tinto»."
"Wasser";"Agua";[sound:esCO_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"bitte";"porfa";[sound:esCO_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"Beim Bestellen/Bitten.";"Coloquial de «por favor», muy usado."
"Die Rechnung, bitte.";"La cuenta, porfa.";[sound:esCO_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Ich bin Vegetarier(in).";"Soy vegetariano/a.";[sound:esCO_DINING_VEGETARIAN.mp3];"/soj βeɣetaˈɾjano(a)/";"/soy ve-he-ta-ˈree-a-no(-a)/";"„-in“ für weiblich.";"«-a» para femenino."
"War sehr lecker!";"¡Estaba riquísimo!";[sound:esCO_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"Schmeckt richtig gut!";"¡Está muy rico!";[sound:esCO_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Wo ist der Bahnhof?";"¿Dónde queda la estación?";[sound:esCO_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde ˈkeða la estaˈsjon/";"/ˈdon-de ˈke-da la es-ta-ˈsion/";"";""
"Wo ist die Toilette?";"¿Dónde está el baño?";[sound:esCO_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Wo ist der nächste Geldautomat?";"¿Dónde hay un cajero?";[sound:esCO_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"Was kostet das?";"¿Cuánto vale esto?";[sound:esCO_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈβale ˈesto/";"/ˈkwan-to ˈba-le ˈes-to/";"";""
"Kann ich mit Karte zahlen?";"¿Puedo pagar con tarjeta?";[sound:esCO_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"Ich zahle bar.";"Pago en efectivo.";[sound:esCO_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Hilfe!";"¡Ayuda!";[sound:esCO_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-tha/";"";""
"Ich brauche einen Arzt!";"¡Necesito un médico!";[sound:esCO_EMERGENCY_DOCTOR.mp3];"/neseˈsito un ˈmeðiko/";"/ne-se-ˈsee-toon ˈme-di-ko/";"";""
"Rufen Sie die Polizei!";"¡Llame a la policía!";[sound:esCO_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈsia/";"/ˈya-me a la po-li-ˈsee-a/";"";""
"eins";"uno";[sound:esCO_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"zwei";"dos";[sound:esCO_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"drei";"tres";[sound:esCO_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"vier";"cuatro";[sound:esCO_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"fünf";"cinco";[sound:esCO_NUMBER_FIVE.mp3];"/ˈsiŋko/";"/ˈseen-ko/";"";""
"sechs";"seis";[sound:esCO_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
"sieben";"siete";[sound:esCO_NUMBER_SEVEN.mp3];"/ˈsjete/";"/ˈsye-te/";"";""
"acht";"ocho";[sound:esCO_NUMBER_EIGHT.mp3];"/ˈot͡ʃo/";"/ˈo-cho/";"";""
"neun";"nueve";[sound:esCO_NUMBER_NINE.mp3];"/ˈnweβe/";"/ˈnwe-be/";"";""
"zehn";"diez";[sound:esCO_NUMBER_TEN.mp3];"/djes/";"/dyehs/";"";""
