Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Guten Tag!";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Neutral; passt den ganzen Tag.";"Saludo coloquial válido todo el día."
"Tschüss!";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"Gern!";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Respuesta a “gracias” (= “con gusto”)."
"Danke!";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"Vielen Dank!";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Ja";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Nein";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Entschuldigung";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"Ich heiße …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Freut mich!";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"Wie heißt du?";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";""
"Ich versteh’s nicht.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Sprechen Sie Englisch?";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"Ein bisschen langsamer, bitte.";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"Mein Deutsch ist noch nicht so gut.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Wie sagt man … auf Deutsch?";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"Speisekarte, bitte.";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Kaffee";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Wasser";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"bitte";"porfa";[sound:esES_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"Beim Bestellen/Bitten.";"Forma coloquial de «por favor» muy usada en España."
"Die Rechnung, bitte.";"La cuenta, porfa.";[sound:esES_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Ich bin Vegetarier(in).";"Soy vegetariano/a.";[sound:esES_DINING_VEGETARIAN.mp3];"/soj βegetaˈɾjano(a)/";"/soy ve-he-ta-ˈrya-no(-a)/";"„-in“ für weiblich.";"“-a” para femenino."
"War sehr lecker!";"¡Estaba riquísimo!";[sound:esES_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"Schmeckt richtig gut!";"¡Está muy rico!";[sound:esES_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Wo ist der Bahnhof?";"¿Dónde está la estación?";[sound:esES_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde esˈta la estaˈθjon/";"/ˈdon-de es-ˈta la es-ta-ˈthyon/";"";""
"Wo ist die Toilette?";"¿Dónde está el baño?";[sound:esES_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Wo ist der nächste Geldautomat?";"¿Dónde hay un cajero?";[sound:esES_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"Was kostet das?";"¿Cuánto cuesta?";[sound:esES_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈkwesta/";"/ˈkwan-to ˈkwes-ta/";"";""
"Kann ich mit Karte zahlen?";"¿Puedo pagar con tarjeta?";[sound:esES_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"Ich zahle bar.";"Pago en efectivo.";[sound:esES_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Hilfe!";"¡Ayuda!";[sound:esES_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-da/";"";""
"Ich brauche einen Arzt!";"¡Necesito un médico!";[sound:esES_EMERGENCY_DOCTOR.mp3];"/neθeˈθito un ˈmeðiko/";"/ne-the-ˈthi-to un ˈme-di-ko/";"";""
"Rufen Sie die Polizei!";"¡Llame a la policía!";[sound:esES_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈθia/";"/ˈya-me a la po-li-ˈthia/";"";""
"eins";"uno";[sound:esES_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"zwei";"dos";[sound:esES_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"drei";"tres";[sound:esES_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"vier";"cuatro";[sound:esES_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"fünf";"cinco";[sound:esES_NUMBER_FIVE.mp3];"/ˈθiŋko/";"/ˈthin-ko/";"";""
"sechs";"seis";[sound:esES_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
"sieben";"siete";[sound:esES_NUMBER_SEVEN.mp3];"/ˈsjete/";"/ˈsye-te/";"";""
"acht";"ocho";[sound:esES_NUMBER_EIGHT.mp3];"/ˈot͡ʃo/";"/ˈo-cho/";"";""
"neun";"nueve";[sound:esES_NUMBER_NINE.mp3];"/ˈnweβe/";"/ˈnwe-be/";"";""
"zehn";"diez";[sound:esES_NUMBER_TEN.mp3];"/ˈdjeθ/";"/ˈdye-th/";"";""
