Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hallo!";"どうも！";[sound:jaJP_GREETING_HELLO.mp3];"/doːmo/";"/doo-mo/";"";""
"Guten Tag!";"こんにちは！";[sound:jaJP_GREETING_GOOD_DAY.mp3];"/koɲɲi̥t͡ɕiwa/";"/kon-ni-chi-wa/";"Neutral; passt den ganzen Tag.";""
"Tschüss!";"じゃあね！";[sound:jaJP_FAREWELL_BYE.mp3];"/dʑaːne/";"/jaa-neh/";"";""
"Gern!";"いえいえ";[sound:jaJP_POLITENESS_PLEASE.mp3];"/ie̞ ie̞/";"/ee-eh ee-eh/";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“).";"Casual “you’re welcome”. Polite: どういたしまして。"
"Danke!";"ありがとう！";[sound:jaJP_POLITENESS_THANK_YOU.mp3];"/aɾi̥ɡaꜜtoː/";"/a-ree-ga-TOH/";"";""
"Vielen Dank!";"どうもありがとう！";[sound:jaJP_POLITENESS_MANY_THANKS.mp3];"/doːmo aɾi̥ɡaꜜtoː/";"/DOH-mo a-ree-ga-TOH/";"";""
"Ja";"はい";[sound:jaJP_CONFIRMATION_YES.mp3];"/hai/";"/hai/";"";""
"Nein";"いいえ";[sound:jaJP_CONFIRMATION_NO.mp3];"/iːe/";"/ee-eh/";"";""
"Entschuldigung";"すみません";[sound:jaJP_POLITENESS_EXCUSE_ME.mp3];"/sɯmimasẽ̞ɴ/";"/su-mi-ma-sen/";"";""
"Ich heiße …";"…です。";[sound:jaJP_INTRODUCTION_MY_NAME.mp3];"/desɯ/";"/dess/";"";""
"Freut mich!";"はじめまして！";[sound:jaJP_INTRODUCTION_NICE_TO_MEET.mp3];"/ha̠dʑime̞maɕite̞/";"/ha-ji-me-ma-shte/";"";""
"Wie heißt du?";"お名前は？";[sound:jaJP_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/o namae wa/";"/o na-ma-eh wa?/";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“";""
"Ich versteh’s nicht.";"わかりません。";[sound:jaJP_COMMUNICATION_DONT_UNDERSTAND.mp3];"/wakaɾimasẽ̞ɴ/";"/wa-ka-ri-ma-sen/";"";""
"Sprechen Sie Englisch?";"英語、話せますか？";[sound:jaJP_COMMUNICATION_SPEAK_ENGLISH.mp3];"/eːɡo hanase̞masɯka/";"/eh-go ha-na-se-mas-ka?/";"";""
"Ein bisschen langsamer, bitte.";"もう少しゆっくりお願いします。";[sound:jaJP_COMMUNICATION_SPEAK_SLOWER.mp3];"/moː so̞ɕi jɯkːɯɾi one̞ɡaishimasɯ/";"/moh- soo-shi yook-ku-ri o-ne-gai-shi-ma-su/";"";""
"Mein Deutsch ist noch nicht so gut.";"日本語はあまり上手じゃないです。";[sound:jaJP_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nihoŋɡo wa a̠maɾi d͡ʑoːzɯ d͡ʑa nai desɯ/";"/ni-hon-go wa a-ma-ri jo-zu ja nai dess/";"";""
