Cue_L1;Context_L1;L2;Pron_IPA;Pron_Simple;Meaning_L1;Literal_L1;Usage_L1;VarPlural_L2;VarPlural_IPA;VarPlural_Simple;Resp_L2;Resp_Pron_IPA;Resp_Pron_Simple;Resp_Meaning_L1;Notes_L1;Audio_L2;Audio_VarPlural;Audio_Resp;Tags
"Hallo (sehr locker, zu Freunden)";"Wenn du Freunde oder Leute in deinem Alter locker begrüßt.";"Selam!";"seˈlam";"se-LAM";"Hi!";"Gruß / Frieden";"Sehr lockere Begrüßung unter Freunden oder gleichaltrigen Leuten. In Cafés, Bars oder auf der Straße ist das völlig normal.";"";"";"";"";"";"";"";"Etwas lockerer als „Merhaba“. Du kannst es eher bei Leuten benutzen, mit denen du per Du bist.";"[sound:deDE-trTR_greeting_hello_casual.mp3]";"";"";"lang:tr-TR L1:de-DE cat:greeting type:single"
"Hallo (neutral, tagsüber)";"Allgemeine Begrüßung tagsüber, fast immer passend.";"Merhaba!";"ˈmɛɾhaba";"MER-ha-ba";"Hallo!";"";"Neutrale Standardbegrüßung, die du fast immer benutzen kannst – im Laden, im Restaurant, im Hotel, auf der Straße.";"";"";"";"";"";"";"";"Klingt freundlicher und natürlicher als sehr formelle Floskeln. Funktioniert mit „Sie“ und „du“ gleichermaßen.";"[sound:deDE-trTR_greeting_hello_general.mp3]";"";"";"lang:tr-TR L1:de-DE cat:greeting type:single"
"Tschüss / Bis später";"Wenn du dich locker verabschiedest.";"Görüşürüz.";"ɟøɾyˈʃyɾyz";"gö-rü-SCHÜ-rüs";"Bis später. / Wir sehen uns.";"";"Sehr häufige, freundliche Verabschiedung. Du kannst es fast immer benutzen – bei Freunden, in Läden oder im Café.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_greeting_bye_general.mp3]";"";"";"lang:tr-TR L1:de-DE cat:greeting type:single"
"„Bitte“ (am Ende einer Bitte)";"Wenn du eine Bitte höflich machst, z.B. im Restaurant.";"Lütfen.";"ˈlytfen";"LÜT-fen";"Bitte.";"";"Wird an Bitten angehängt oder allein gesagt, um höflicher zu klingen. Im Türkischen wird es etwas seltener benutzt als das deutsche „bitte“, aber bei Touristen wirkt es sehr höflich.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_politeness_please_request.mp3]";"";"";"lang:tr-TR L1:de-DE cat:politeness type:single"
"Danke (höflich, neutral)";"Wenn du dich höflich bei jemandem bedankst.";"Teşekkür ederim.";"teʃekˈkyɾ edeˈɾim";"te-schek-KÜR e-DE-rim";"Vielen Dank.";"Ich mache/erbringe Dank.";"Höfliche Standardform. Passt gut in Restaurants, Hotels und bei fremden Leuten. Du kannst es immer benutzen, ohne unhöflich zu wirken.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_thanks_formal.mp3]";"";"";"lang:tr-TR L1:de-DE cat:thanks type:single"
"Danke (locker, zu Freunden)";"Wenn du dich informell bei einer Person bedankst.";"Sağ ol.";"ˈsaːol";"SAA-ol";"Danke.";"Sei gesund.";"Sehr häufig im Alltag, nachdem dir jemand geholfen hat oder dir etwas gibt. Eher für „du“-Situationen.";"Sağ olun.";"ˈsaː olun";"SAA-o-lun";"";"";"";"";"„Sağ ol“ ist informell (Singular), „Sağ olun“ höflicher oder für mehrere Personen.";"[sound:deDE-trTR_thanks_casual.mp3]";"[sound:deDE-trTR_thanks_casual__plural.mp3]";"";"lang:tr-TR L1:de-DE cat:thanks type:single"
"Danke (kurz, sehr häufig)";"Kurzes Dankeschön in fast jeder Alltagssituation.";"Teşekkürler.";"teʃekˈkyɾleɾ";"te-schek-KÜR-ler";"Danke. / Danke schön.";"";"Sehr häufige, kurze Form. Gut im Supermarkt, im Taxi oder im Café, wenn du einfach nur schnell „Danke“ sagen willst.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_thanks_short_neutral.mp3]";"";"";"lang:tr-TR L1:de-DE cat:thanks type:single"
"„Gern geschehen“ (höflich)";"Als Antwort auf „Danke“ in höflichen Situationen.";"Rica ederim.";"ɾiˈd͡ʒa edeˈɾim";"ri-DJA e-DE-rim";"Gern geschehen.";"Ich bitte darum.";"Höfliche Standardantwort auf „Teşekkürler“ oder „Teşekkür ederim“. Passt bei Fremden, im Service und allgemein formellen Situationen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_thanks_response_formal.mp3]";"";"";"lang:tr-TR L1:de-DE cat:politeness type:single"
"„Kein Problem“ (locker)";"Lockere Antwort auf „Danke“ bei Freunden oder informell.";"Bir şey değil.";"biɾ ʃej ˈdiːl";"bir schej DIIL";"Kein Problem. / Schon gut.";"Es ist keine Sache.";"Sehr umgangssprachliche Antwort auf ein Dankeschön, vor allem bei Freunden und in entspannten Situationen.";"";"";"";"";"";"";"";"";"[sound:deDE-trTR_thanks_response_casual.mp3]";"";"";"lang:tr-TR L1:de-DE cat:politeness type:single"
"Ich bin … (Name sagen)";"Wenn du dich kurz vorstellst.";"Ben Ayşe.";"ben ˈajʃe";"ben AI-sche";"Ich bin Ayşe.";"";"Sehr übliche Art, den eigenen Namen zu sagen. Ersetze einfach „Ayşe“ durch deinen Namen, z.B. „Ben Anna.“";"";"";"";"";"";"";"";"Du kannst auch „Benim adım …“ sagen, aber „Ben …“ ist kürzer und sehr häufig.";"[sound:deDE-trTR_intro_my_name_is.mp3]";"";"";"lang:tr-TR L1:de-DE cat:introduction type:single"
