Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Γεια!";"どうも！";[sound:jaJP_GREETING_HELLO.mp3];"/doːmo/";"/doo-mo/";"";""
"Γεια σας!";"こんにちは！";[sound:jaJP_GREETING_GOOD_DAY.mp3];"/koɲɲi̥t͡ɕiwa/";"/kon-ni-chi-wa/";"Ουδέτερο, ταιριάζει όλη μέρα.";""
"Τα λέμε!";"じゃあね！";[sound:jaJP_FAREWELL_BYE.mp3];"/dʑaːne/";"/jaa-neh/";"";""
"Παρακαλώ!";"いえいえ";[sound:jaJP_POLITENESS_PLEASE.mp3];"/ie̞ ie̞/";"/ee-eh ee-eh/";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»).";"Casual “you’re welcome”. Polite: どういたしまして。"
"Ευχαριστώ!";"ありがとう！";[sound:jaJP_POLITENESS_THANK_YOU.mp3];"/aɾi̥ɡaꜜtoː/";"/a-ree-ga-TOH/";"";""
"Ευχαριστώ πολύ!";"どうもありがとう！";[sound:jaJP_POLITENESS_MANY_THANKS.mp3];"/doːmo aɾi̥ɡaꜜtoː/";"/DOH-mo a-ree-ga-TOH/";"";""
"Ναι";"はい";[sound:jaJP_CONFIRMATION_YES.mp3];"/hai/";"/hai/";"";""
"Όχι";"いいえ";[sound:jaJP_CONFIRMATION_NO.mp3];"/iːe/";"/ee-eh/";"";""
"Συγγνώμη";"すみません";[sound:jaJP_POLITENESS_EXCUSE_ME.mp3];"/sɯmimasẽ̞ɴ/";"/su-mi-ma-sen/";"Για «με συγχωρείτε» ή «σόρι».";""
"Με λένε …";"…です。";[sound:jaJP_INTRODUCTION_MY_NAME.mp3];"/desɯ/";"/dess/";"";""
"Χάρηκα!";"はじめまして！";[sound:jaJP_INTRODUCTION_NICE_TO_MEET.mp3];"/ha̠dʑime̞maɕite̞/";"/ha-ji-me-ma-shte/";"";""
"Πώς σε λένε;";"お名前は？";[sound:jaJP_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/o namae wa/";"/o na-ma-eh wa?/";"Ευγενικό πληθυντικό: «Πώς σας λένε;»";""
"Δεν καταλαβαίνω.";"わかりません。";[sound:jaJP_COMMUNICATION_DONT_UNDERSTAND.mp3];"/wakaɾimasẽ̞ɴ/";"/wa-ka-ri-ma-sen/";"";""
"Μιλάτε Αγγλικά;";"英語、話せますか？";[sound:jaJP_COMMUNICATION_SPEAK_ENGLISH.mp3];"/eːɡo hanase̞masɯka/";"/eh-go ha-na-se-mas-ka?/";"";""
