Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hiya!";"Hallo!";[sound:deDE_GREETING_HELLO.mp3];"/haˈloː/";"/ha-ˈloh/";"";""
"Hello!";"Guten Tag!";[sound:deDE_GREETING_GOOD_DAY.mp3];"/ˈɡuːtən taːk/";"/ˈguu-ten taak/";"Neutral greeting you can use all day.";"Neutral; passt den ganzen Tag."
"Bye!";"Tschüss!";[sound:deDE_FAREWELL_BYE.mp3];"/t͡ʃʏs/";"/tschys/";"";""
"No worries!";"Gern!";[sound:deDE_POLITENESS_PLEASE.mp3];"/ɡɛʁn/";"/gern/";"As a reply to “thanks” (= “you’re welcome”).";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“)."
"Thanks!";"Danke!";[sound:deDE_POLITENESS_THANK_YOU.mp3];"/ˈdaŋkə/";"/ˈdan-kə/";"";""
"Thanks a lot!";"Vielen Dank!";[sound:deDE_POLITENESS_MANY_THANKS.mp3];"/ˈfiːlən ˈdaŋk/";"/ˈfee-lən ˈdank/";"";""
"Yes";"Ja";[sound:deDE_CONFIRMATION_YES.mp3];"/jaː/";"/yaa/";"";""
"No";"Nein";[sound:deDE_CONFIRMATION_NO.mp3];"/naɪ̯n/";"/nain/";"";""
"Sorry";"Entschuldigung";[sound:deDE_POLITENESS_EXCUSE_ME.mp3];"/ɛntˈʃʊldɪɡʊŋ/";"/ent-ˈshul-di-gung/";"Most common way to get someone’s attention in England.";""
"I'm …";"Ich heiße …";[sound:deDE_INTRODUCTION_MY_NAME.mp3];"/ɪç ˈhaɪ̯sə/";"/ich ˈhai-se/";"";""
"Nice to meet you!";"Freut mich!";[sound:deDE_INTRODUCTION_NICE_TO_MEET.mp3];"/fʁɔɪ̯t mɪç/";"/froit mich/";"";""
"What's your name?";"Wie heißt du?";[sound:deDE_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/viː ˈhaɪ̯st duː/";"/vee ˈhaist du/";"";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“"
"I don't get it.";"Ich versteh’s nicht.";[sound:deDE_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ɪç fɛɐ̯ˈʃteːs nɪçt/";"/ich fer-ˈshtehs nicht/";"";""
"Do you speak English?";"Sprechen Sie Englisch?";[sound:deDE_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈʃpʁɛçn̩ ziː ˈɛŋlɪʃ/";"/ˈshprech-en zee ˈeng-lish/";"";""
"Could you speak a bit slower, please?";"Ein bisschen langsamer, bitte.";[sound:deDE_COMMUNICATION_SPEAK_SLOWER.mp3];"/aɪ̯n ˈbɪsçn̩ ˈlaŋzamɐ ˈbɪtə/";"/ain ˈbis-chen ˈlang-za-mer ˈbi-te/";"";""
"My English isn't great.";"Mein Deutsch ist noch nicht so gut.";[sound:deDE_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ̯n dɔʏ̯t͡ʃ ɪst nɔx nɪçt zoː ɡuːt/";"/main doitsh ist noch nicht zo guut/";"";""
"How do you say … in English?";"Wie sagt man … auf Deutsch?";[sound:deDE_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/viː zaːkt man aʊ̯f dɔʏ̯t͡ʃ/";"/vee zaakt man auf doitsh/";"";""
"Menu, please.";"Speisekarte, bitte.";[sound:deDE_REQUEST_MENU.mp3];"/ˈʃpaɪ̯zəˌkaʁtə ˈbɪtə/";"/ˈshpai-ze-kar-te ˈbi-te/";"";""
