Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hiya!";"Hi!";[sound:enUS_GREETING_HELLO.mp3];"/haɪ/";"/hai/";"";""
"Hello!";"Hello!";[sound:enUS_GREETING_GOOD_DAY.mp3];"/həˈloʊ/";"/huh-ˈloh/";"Neutral greeting you can use all day.";""
"Bye!";"Bye!";[sound:enUS_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"No worries!";"No problem!";[sound:enUS_POLITENESS_PLEASE.mp3];"/noʊ ˈprɑbləm/";"/noh ˈprah-bləm/";"As a reply to “thanks” (= “you’re welcome”).";"Reply to “thanks” (= “you’re welcome”)."
"Thanks!";"Thanks!";[sound:enUS_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Thanks a lot!";"Thanks so much!";[sound:enUS_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks soʊ ˈmʌtʃ/";"/thanks soh ˈmuhch/";"";""
"Yes";"Yes";[sound:enUS_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"No";"No";[sound:enUS_CONFIRMATION_NO.mp3];"/noʊ/";"/noh/";"";""
"Sorry";"Excuse me";[sound:enUS_POLITENESS_EXCUSE_ME.mp3];"/ɪkˈskjuz mi/";"/ik-ˈskyooz mee/";"Most common way to get someone’s attention in England.";""
"I'm …";"I'm …";[sound:enUS_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Nice to meet you!";"Nice to meet you!";[sound:enUS_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmit ju/";"/nais tə ˈmeet yoo/";"";""
"What's your name?";"What's your name?";[sound:enUS_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wʌts jɚ ˈneɪm/";"/wuts yer ˈnaim/";"";""
"I don't get it.";"I don't get it.";[sound:enUS_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ doʊnt ˈɡɛt ɪt/";"/ai dont GET it/";"";""
"Do you speak English?";"Do you speak English?";[sound:enUS_COMMUNICATION_SPEAK_ENGLISH.mp3];"/du ju spik ˈɪŋɡlɪʃ/";"/doo yoo speek ˈing-glish/";"";""
"Could you speak a bit slower, please?";"Could you speak a little slower, please?";[sound:enUS_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd ju spik ə ˈlɪtəl ˈsloʊɚ, pliz/";"/kud yoo speek ə ˈli-təl ˈsloh-er, pleez/";"";""
"My English isn't great.";"My English isn't great.";[sound:enUS_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪzənt ɡreɪt/";"/mai ˈing-glish ˈiz-ənt grate/";"";""
"How do you say … in English?";"How do you say … in English?";[sound:enUS_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ də ju seɪ ɪn ˈɪŋɡlɪʃ/";"/how də yoo say in ˈing-glish/";"";""
"Menu, please.";"Menu, please.";[sound:enUS_REQUEST_MENU.mp3];"/ˈmɛnju pliz/";"/MEN-yoo pleez/";"";""
"Coffee";"Coffee";[sound:enUS_REQUEST_COFFEE.mp3];"/ˈkɔfi/";"/ˈkaw-fee/";"";""
"Water";"Water";[sound:enUS_REQUEST_WATER.mp3];"/ˈwɑɾɚ/";"/ˈwah-der/";"";""
"please";"please";[sound:enUS_REQUEST_PLEASE.mp3];"/pliz/";"/pleez/";"Used when asking for things.";"Used when asking for things."
"Could we get the bill, please?";"Can we get the check, please?";[sound:enUS_REQUEST_BILL.mp3];"/kæn wi ɡɛt ðə tʃɛk, pliz/";"/kan wee get thuh chek, pleez/";"";""
"I'm vegetarian.";"I'm vegetarian.";[sound:enUS_DINING_VEGETARIAN.mp3];"/aɪm ˌvɛdʒəˈtɛriən/";"/aim vej-ə-ˈteh-ree-ən/";"";""
"That was delicious!";"That was delicious!";[sound:enUS_DINING_DELICIOUS.mp3];"/ðæt wəz dɪˈlɪʃəs/";"/that wuz di-ˈli-shəs/";"";""
"This is really tasty!";"This is really good!";[sound:enUS_DINING_YUMMY.mp3];"/ðɪs ɪz ˈrɪəli ɡʊd/";"/this iz ˈree-ə-lee gud/";"";""
"Where's the train station?";"Where's the train station?";[sound:enUS_NAVIGATION_TRAIN_STATION.mp3];"/wɛrz ðə treɪn ˈsteɪʃən/";"/wairz thuh trayn ˈstay-shən/";"";""
"Where's the toilet?";"Where's the restroom?";[sound:enUS_NAVIGATION_RESTROOM.mp3];"/wɛrz ðə ˈrɛsˌtrum/";"/wairz thuh REST-room/";"“Toilet” is the usual word in the UK; “loo” is very informal.";""
"Where's the nearest cash machine?";"Where's the nearest ATM?";[sound:enUS_NAVIGATION_ATM.mp3];"/wɛrz ðə ˈnɪrɪst ˌeɪtiˈɛm/";"/wairz thuh NEER-ist A-T-M/";"UK says “cash machine” more than “ATM”.";""
"How much is this?";"How much is this?";[sound:enUS_SHOPPING_HOW_MUCH.mp3];"/haʊ mʌtʃ ɪz ðɪs/";"/how much iz this/";"";""
"Can I pay by card?";"Can I pay with a card?";[sound:enUS_SHOPPING_PAY_BY_CARD.mp3];"/kæn aɪ peɪ wɪð ə kɑrd/";"/kan ai pay with uh kard/";"";""
"I'll pay in cash.";"I'll pay in cash.";[sound:enUS_SHOPPING_PAY_BY_CASH.mp3];"/aɪl peɪ ɪn kæʃ/";"/ail pay in kash/";"";""
"Help!";"Help!";[sound:enUS_EMERGENCY_HELP.mp3];"/hɛlp/";"/help/";"";""
"I need a doctor!";"I need a doctor!";[sound:enUS_EMERGENCY_DOCTOR.mp3];"/aɪ nid ə ˈdɑktɚ/";"/ai need uh ˈdok-ter/";"";""
"Call the police!";"Call the police!";[sound:enUS_EMERGENCY_POLICE.mp3];"/kɔl ðə pəˈlis/";"/kawl thuh puh-ˈlees/";"";""
"one";"one";[sound:enUS_NUMBER_ONE.mp3];"/wʌn/";"/wun/";"";""
"two";"two";[sound:enUS_NUMBER_TWO.mp3];"/tu/";"/too/";"";""
"three";"three";[sound:enUS_NUMBER_THREE.mp3];"/θri/";"/three/";"";""
"four";"four";[sound:enUS_NUMBER_FOUR.mp3];"/fɔr/";"/for/";"";""
"five";"five";[sound:enUS_NUMBER_FIVE.mp3];"/faɪv/";"/faiv/";"";""
"six";"six";[sound:enUS_NUMBER_SIX.mp3];"/sɪks/";"/siks/";"";""
"seven";"seven";[sound:enUS_NUMBER_SEVEN.mp3];"/ˈsɛvən/";"/ˈsev-ən/";"";""
"eight";"eight";[sound:enUS_NUMBER_EIGHT.mp3];"/eɪt/";"/ayt/";"";""
"nine";"nine";[sound:enUS_NUMBER_NINE.mp3];"/naɪn/";"/nain/";"";""
"ten";"ten";[sound:enUS_NUMBER_TEN.mp3];"/tɛn/";"/ten/";"";""
