Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hi!";"¡Hola!";[sound:esCO_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Hello!";"¡Buenas!";[sound:esCO_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"";"Saludo coloquial que funciona todo el día."
"Bye!";"¡Chao!";[sound:esCO_FAREWELL_BYE.mp3];"/ˈt͡ʃao/";"/ˈchao/";"";""
"No problem!";"Con gusto";[sound:esCO_POLITENESS_PLEASE.mp3];"/koŋ ˈɡusto/";"/kon ˈgus-to/";"Reply to “thanks” (= “you’re welcome”).";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia."
"Thanks!";"Gracias";[sound:esCO_POLITENESS_THANK_YOU.mp3];"/ˈɡɾasjas/";"/ˈgra-syas/";"";""
"Thanks so much!";"¡Mil gracias!";[sound:esCO_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾasjas/";"/mil ˈgra-syas/";"";""
"Yes";"Sí";[sound:esCO_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"No";"No";[sound:esCO_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Excuse me";"Perdón";[sound:esCO_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"I'm …";"Me llamo …";[sound:esCO_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Nice to meet you!";"¡Mucho gusto!";[sound:esCO_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈmut͡ʃo ˈɡusto/";"/ˈmu-cho ˈgus-to/";"";""
"What's your name?";"¿Cómo te llamas?";[sound:esCO_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"";"Formal: «¿Cómo se llama?»"
"I don't get it.";"No entiendo.";[sound:esCO_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Do you speak English?";"¿Habla inglés?";[sound:esCO_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβla iŋˈgles/";"/ˈa-bla ing-ˈgles/";"";""
"Could you speak a little slower, please?";"¿Puede hablar un poquito más despacio, porfa?";[sound:esCO_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðe aβˈlaɾ un poˈkito mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-de ab-ˈlar un po-ˈkee-to mas des-ˈpa-syo ˈpor-fa/";"";""
"My English isn't great.";"Mi español no es muy bueno.";[sound:esCO_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"How do you say … in English?";"¿Cómo se dice … en español?";[sound:esCO_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈdise en espaˈɲol/";"/ˈko-mo se ˈdee-se en es-pa-ˈnyol/";"";""
"Menu, please.";"La carta, porfa.";[sound:esCO_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Coffee";"Café";[sound:esCO_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";"En Colombia el café negro se pide también como «tinto»."
"Water";"Agua";[sound:esCO_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"please";"porfa";[sound:esCO_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"Used when asking for things.";"Coloquial de «por favor», muy usado."
"Can we get the check, please?";"La cuenta, porfa.";[sound:esCO_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"I'm vegetarian.";"Soy vegetariano/a.";[sound:esCO_DINING_VEGETARIAN.mp3];"/soj βeɣetaˈɾjano(a)/";"/soy ve-he-ta-ˈree-a-no(-a)/";"";"«-a» para femenino."
"That was delicious!";"¡Estaba riquísimo!";[sound:esCO_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"This is really good!";"¡Está muy rico!";[sound:esCO_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Where's the train station?";"¿Dónde queda la estación?";[sound:esCO_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde ˈkeða la estaˈsjon/";"/ˈdon-de ˈke-da la es-ta-ˈsion/";"";""
"Where's the restroom?";"¿Dónde está el baño?";[sound:esCO_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Where's the nearest ATM?";"¿Dónde hay un cajero?";[sound:esCO_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"How much is this?";"¿Cuánto vale esto?";[sound:esCO_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈβale ˈesto/";"/ˈkwan-to ˈba-le ˈes-to/";"";""
"Can I pay with a card?";"¿Puedo pagar con tarjeta?";[sound:esCO_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"I'll pay in cash.";"Pago en efectivo.";[sound:esCO_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Help!";"¡Ayuda!";[sound:esCO_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-tha/";"";""
"I need a doctor!";"¡Necesito un médico!";[sound:esCO_EMERGENCY_DOCTOR.mp3];"/neseˈsito un ˈmeðiko/";"/ne-se-ˈsee-toon ˈme-di-ko/";"";""
"Call the police!";"¡Llame a la policía!";[sound:esCO_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈsia/";"/ˈya-me a la po-li-ˈsee-a/";"";""
"one";"uno";[sound:esCO_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"two";"dos";[sound:esCO_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"three";"tres";[sound:esCO_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"four";"cuatro";[sound:esCO_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"five";"cinco";[sound:esCO_NUMBER_FIVE.mp3];"/ˈsiŋko/";"/ˈseen-ko/";"";""
"six";"seis";[sound:esCO_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
"seven";"siete";[sound:esCO_NUMBER_SEVEN.mp3];"/ˈsjete/";"/ˈsye-te/";"";""
"eight";"ocho";[sound:esCO_NUMBER_EIGHT.mp3];"/ˈot͡ʃo/";"/ˈo-cho/";"";""
"nine";"nueve";[sound:esCO_NUMBER_NINE.mp3];"/ˈnweβe/";"/ˈnwe-be/";"";""
"ten";"diez";[sound:esCO_NUMBER_TEN.mp3];"/djes/";"/dyehs/";"";""
