Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Hi!";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"Hello!";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"";""
"Bye!";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"No problem!";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Reply to “thanks” (= “you’re welcome”).";"Casual “you’re welcome”."
"Thanks!";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"";""
"Thanks so much!";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"Yes";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"No";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"Excuse me";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"";"Polite plural: “Më falni”."
"I'm …";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"Nice to meet you!";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"";""
"What's your name?";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"";"Polite: “Si quheni?”"
"I don't get it.";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
"Do you speak English?";"Flisni anglisht?";[sound:sqAL_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈflisni anˈɡliʃt/";"/ˈflees-nee ang-ˈlisht?/";"";""
"Could you speak a little slower, please?";"Më ngadalë, ju lutem.";[sound:sqAL_COMMUNICATION_SPEAK_SLOWER.mp3];"/mə ŋaˈdalə, ju ˈlutɛm/";"/mə nga-ˈda-lə, yoo ˈlu-tem/";"";""
"My English isn't great.";"Nuk flas mirë shqip.";[sound:sqAL_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nuk flas ˈmiɾə ʃcip/";"/nuk flas ˈmee-rə shchip/";"";""
"How do you say … in English?";"Si thuhet … në shqip?";[sound:sqAL_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/si ˈθuhɛt nə ʃcip/";"/see ˈthu-het nə shchip?/";"";""
"Menu, please.";"Menyja, ju lutem.";[sound:sqAL_REQUEST_MENU.mp3];"/mɛˈnyja, ju ˈlutɛm/";"/me-ˈnyah, yoo ˈlu-tem/";"";""
"Coffee";"Kafe";[sound:sqAL_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Water";"Ujë";[sound:sqAL_REQUEST_WATER.mp3];"/ˈujə/";"/ˈoo-yə/";"";""
"please";"ju lutem";[sound:sqAL_REQUEST_PLEASE.mp3];"/ju ˈlutɛm/";"/yoo ˈlu-tem/";"Used when asking for things.";""
"Can we get the check, please?";"Llogarinë, ju lutem.";[sound:sqAL_REQUEST_BILL.mp3];"/lɔɡaˈɾinə, ju ˈlutɛm/";"/llo-ga-ˈree-nə, yoo ˈlu-tem/";"";""
"I'm vegetarian.";"Jam vegjetarian/e.";[sound:sqAL_DINING_VEGETARIAN.mp3];"/jam ved͡ʒetaˈɾian(e)/";"/yam ve-je-ta-ˈryan(-e)/";"";"“-e” for female."
"That was delicious!";"Ishte shumë e shijshme!";[sound:sqAL_DINING_DELICIOUS.mp3];"/ˈiʃtɛ ʃum ə ˈʃijʃmə/";"/ˈish-te shoom ə ˈsheesh-mə/";"";""
"This is really good!";"Është shumë e mirë!";[sound:sqAL_DINING_YUMMY.mp3];"/ˈəʃtə ʃum ə ˈmirə/";"/ˈəsh-tə shoom ə ˈmee-rə/";"";""
"Where's the train station?";"Ku është stacioni i trenit?";[sound:sqAL_NAVIGATION_TRAIN_STATION.mp3];"/ku ˈəʃtə staˈcjɔni i ˈtrɛnit/";"/koo ˈəsh-tə sta-ˈtsyoh-ni i ˈtre-nit/";"";""
"Where's the restroom?";"Ku është tualeti?";[sound:sqAL_NAVIGATION_RESTROOM.mp3];"/ku ˈəʃtə tuaˈlɛti/";"/koo ˈəsh-tə tua-ˈle-ti/";"";""
"Where's the nearest ATM?";"Ku ka bankomat?";[sound:sqAL_NAVIGATION_ATM.mp3];"/ku ka baŋkɔˈmat/";"/koo ka ban-ko-ˈmat/";"";""
"How much is this?";"Sa kushton kjo?";[sound:sqAL_SHOPPING_HOW_MUCH.mp3];"/sa kuʃˈtɔn cɔ/";"/sa kush-ˈton kyo?/";"";""
"Can I pay with a card?";"Mund të paguaj me kartë?";[sound:sqAL_SHOPPING_PAY_BY_CARD.mp3];"/mund tə paˈɡuaj mɛ ˈkaɾtə/";"/moond tə pa-ˈgoo-ai me ˈkar-tə?/";"";""
"I'll pay in cash.";"Paguaj me para në dorë.";[sound:sqAL_SHOPPING_PAY_BY_CASH.mp3];"/paˈɡuaj mɛ paˈɾa nə dɔɾə/";"/pa-ˈgoo-ai me pa-ˈra nə ˈdo-rə/";"";""
"Help!";"Ndihmë!";[sound:sqAL_EMERGENCY_HELP.mp3];"/ndi.hmə/";"/n-DEEH-mə/";"";""
"I need a doctor!";"Më duhet një mjek!";[sound:sqAL_EMERGENCY_DOCTOR.mp3];"/mə ˈduhɛt ɲə mjɛk/";"/mə ˈdu-het nyə myek/";"";""
"Call the police!";"Thirrni policinë!";[sound:sqAL_EMERGENCY_POLICE.mp3];"/ˈθirni pɔliˈtsin/";"/THIR-ni po-li-ˈtseen/";"";""
"one";"një";[sound:sqAL_NUMBER_ONE.mp3];"/ɲə/";"/nyə/";"";""
"two";"dy";[sound:sqAL_NUMBER_TWO.mp3];"/dy/";"/dy/";"";""
"three";"tre";[sound:sqAL_NUMBER_THREE.mp3];"/trɛ/";"/treh/";"";""
"four";"katër";[sound:sqAL_NUMBER_FOUR.mp3];"/ˈkatər/";"/ˈka-tər/";"";""
"five";"pesë";[sound:sqAL_NUMBER_FIVE.mp3];"/ˈpɛsə/";"/ˈpe-sə/";"";""
"six";"gjashtë";[sound:sqAL_NUMBER_SIX.mp3];"/ɟaʃt/";"/gyasht/";"";""
"seven";"shtatë";[sound:sqAL_NUMBER_SEVEN.mp3];"/ʃtatə/";"/shta-tə/";"";""
"eight";"tetë";[sound:sqAL_NUMBER_EIGHT.mp3];"/ˈtɛtə/";"/ˈte-tə/";"";""
"nine";"nëntë";[sound:sqAL_NUMBER_NINE.mp3];"/ˈnən.tə/";"/ˈnən-tə/";"";""
"ten";"dhjetë";[sound:sqAL_NUMBER_TEN.mp3];"/ˈðjɛ.tə/";"/ˈth-ye-tə/";"";""
