Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"Hallo!";[sound:deDE_GREETING_HELLO.mp3];"/haˈloː/";"/ha-ˈloh/";"";""
"¡Buenas!";"Guten Tag!";[sound:deDE_GREETING_GOOD_DAY.mp3];"/ˈɡuːtən taːk/";"/ˈguu-ten taak/";"Saludo coloquial que funciona todo el día.";"Neutral; passt den ganzen Tag."
"¡Chao!";"Tschüss!";[sound:deDE_FAREWELL_BYE.mp3];"/t͡ʃʏs/";"/tschys/";"";""
"Con gusto";"Gern!";[sound:deDE_POLITENESS_PLEASE.mp3];"/ɡɛʁn/";"/gern/";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia.";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“)."
"Gracias";"Danke!";[sound:deDE_POLITENESS_THANK_YOU.mp3];"/ˈdaŋkə/";"/ˈdan-kə/";"";""
"¡Mil gracias!";"Vielen Dank!";[sound:deDE_POLITENESS_MANY_THANKS.mp3];"/ˈfiːlən ˈdaŋk/";"/ˈfee-lən ˈdank/";"";""
"Sí";"Ja";[sound:deDE_CONFIRMATION_YES.mp3];"/jaː/";"/yaa/";"";""
"No";"Nein";[sound:deDE_CONFIRMATION_NO.mp3];"/naɪ̯n/";"/nain/";"";""
"Perdón";"Entschuldigung";[sound:deDE_POLITENESS_EXCUSE_ME.mp3];"/ɛntˈʃʊldɪɡʊŋ/";"/ent-ˈshul-di-gung/";"";""
"Me llamo …";"Ich heiße …";[sound:deDE_INTRODUCTION_MY_NAME.mp3];"/ɪç ˈhaɪ̯sə/";"/ich ˈhai-se/";"";""
"¡Mucho gusto!";"Freut mich!";[sound:deDE_INTRODUCTION_NICE_TO_MEET.mp3];"/fʁɔɪ̯t mɪç/";"/froit mich/";"";""
"¿Cómo te llamas?";"Wie heißt du?";[sound:deDE_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/viː ˈhaɪ̯st duː/";"/vee ˈhaist du/";"Formal: «¿Cómo se llama?»";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“"
"No entiendo.";"Ich versteh’s nicht.";[sound:deDE_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ɪç fɛɐ̯ˈʃteːs nɪçt/";"/ich fer-ˈshtehs nicht/";"";""
"¿Habla inglés?";"Sprechen Sie Englisch?";[sound:deDE_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈʃpʁɛçn̩ ziː ˈɛŋlɪʃ/";"/ˈshprech-en zee ˈeng-lish/";"";""
"¿Puede hablar un poquito más despacio, porfa?";"Ein bisschen langsamer, bitte.";[sound:deDE_COMMUNICATION_SPEAK_SLOWER.mp3];"/aɪ̯n ˈbɪsçn̩ ˈlaŋzamɐ ˈbɪtə/";"/ain ˈbis-chen ˈlang-za-mer ˈbi-te/";"";""
