Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"Γεια!";[sound:elGR_GREETING_HELLO.mp3];"/ʝa/";"/ya/";"";""
"¡Buenas!";"Γεια σας!";[sound:elGR_GREETING_GOOD_DAY.mp3];"/ʝa sas/";"/ya sas/";"Saludo coloquial que funciona todo el día.";"Ουδέτερο, ταιριάζει όλη μέρα."
"¡Chao!";"Τα λέμε!";[sound:elGR_FAREWELL_BYE.mp3];"/ta ˈleme/";"/ta ˈle-me/";"";""
"Con gusto";"Παρακαλώ!";[sound:elGR_POLITENESS_PLEASE.mp3];"/parakaˈlo/";"/pa-ra-ka-ˈlo/";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia.";"Ως απάντηση σε «ευχαριστώ» (= «παρακαλώ/με χαρά»)."
"Gracias";"Ευχαριστώ!";[sound:elGR_POLITENESS_THANK_YOU.mp3];"/efxariˈsto/";"/ef-ha-ris-ˈto/";"";""
"¡Mil gracias!";"Ευχαριστώ πολύ!";[sound:elGR_POLITENESS_MANY_THANKS.mp3];"/efxariˈsto poˈli/";"/ef-ha-ris-ˈto po-ˈli/";"";""
"Sí";"Ναι";[sound:elGR_CONFIRMATION_YES.mp3];"/ne/";"/ne/";"";""
"No";"Όχι";[sound:elGR_CONFIRMATION_NO.mp3];"/ˈoçi/";"/ˈo-chi/";"";""
"Perdón";"Συγγνώμη";[sound:elGR_POLITENESS_EXCUSE_ME.mp3];"/siɣˈnomi/";"/sig-ˈno-mi/";"";"Για «με συγχωρείτε» ή «σόρι»."
"Me llamo …";"Με λένε …";[sound:elGR_INTRODUCTION_MY_NAME.mp3];"/me ˈlene/";"/me ˈle-ne/";"";""
"¡Mucho gusto!";"Χάρηκα!";[sound:elGR_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈxaɾika/";"/ˈxa-ri-ka/";"";""
"¿Cómo te llamas?";"Πώς σε λένε;";[sound:elGR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/pos se ˈlene/";"/pos se ˈle-ne/";"Formal: «¿Cómo se llama?»";"Ευγενικό πληθυντικό: «Πώς σας λένε;»"
"No entiendo.";"Δεν καταλαβαίνω.";[sound:elGR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ðen kata.laˈveno/";"/then ka-ta-la-ˈve-no/";"";""
"¿Habla inglés?";"Μιλάτε Αγγλικά;";[sound:elGR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/miˈlate aɣliˈka/";"/mi-ˈla-te a-ghli-ˈka/";"";""
"¿Puede hablar un poquito más despacio, porfa?";"Λίγο πιο αργά, παρακαλώ.";[sound:elGR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈliɣo pço arˈɣa, parakaˈlo/";"/ˈlee-go pyo ar-ˈga, pa-ra-ka-ˈlo/";"";""
"Mi español no es muy bueno.";"Τα Ελληνικά μου δεν είναι πολύ καλά.";[sound:elGR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ta eliniˈka mu ðen ˈine poˈli kaˈla/";"/ta e-li-ni-ˈka mu then ˈi-ne po-ˈli ka-ˈla/";"";""
"¿Cómo se dice … en español?";"Πώς το λέτε στα Ελληνικά;";[sound:elGR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/pos to ˈlete sta eliniˈka/";"/pos to ˈle-te sta e-li-ni-ˈka/";"";""
