Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"¡Buenas!";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Saludo coloquial que funciona todo el día.";"Saludo coloquial válido todo el día."
"¡Chao!";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"Con gusto";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia.";"Respuesta a “gracias” (= “con gusto”)."
"Gracias";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"¡Mil gracias!";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Sí";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"No";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Perdón";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"Me llamo …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"¡Mucho gusto!";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"¿Cómo te llamas?";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Formal: «¿Cómo se llama?»";""
"No entiendo.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"¿Habla inglés?";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"¿Puede hablar un poquito más despacio, porfa?";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"Mi español no es muy bueno.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"¿Cómo se dice … en español?";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"La carta, porfa.";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Café";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"En Colombia el café negro se pide también como «tinto».";""
"Agua";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"porfa";"porfa";[sound:esES_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"Coloquial de «por favor», muy usado.";"Forma coloquial de «por favor» muy usada en España."
"La cuenta, porfa.";"La cuenta, porfa.";[sound:esES_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Soy vegetariano/a.";"Soy vegetariano/a.";[sound:esES_DINING_VEGETARIAN.mp3];"/soj βegetaˈɾjano(a)/";"/soy ve-he-ta-ˈrya-no(-a)/";"«-a» para femenino.";"“-a” para femenino."
"¡Estaba riquísimo!";"¡Estaba riquísimo!";[sound:esES_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"¡Está muy rico!";"¡Está muy rico!";[sound:esES_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
