Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"¡Buenas!";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"Saludo coloquial que funciona todo el día.";"Pergunta informal que serve como cumprimento todo o dia."
"¡Chao!";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"Con gusto";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia.";"Resposta a “obrigado/obrigada”."
"Gracias";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"¡Mil gracias!";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Sí";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"No";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"Perdón";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"";""
"Me llamo …";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"¡Mucho gusto!";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"¿Cómo te llamas?";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"Formal: «¿Cómo se llama?»";"Cortês: «Como se chama?»"
"No entiendo.";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"¿Habla inglés?";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"¿Puede hablar un poquito más despacio, porfa?";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"Mi español no es muy bueno.";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"¿Cómo se dice … en español?";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"La carta, porfa.";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"Café";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"En Colombia el café negro se pide también como «tinto».";""
"Agua";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
"porfa";"se faz favor";[sound:ptPT_REQUEST_PLEASE.mp3];"/sɨ faʃ fɐˈvoɾ/";"/si fash fa-ˈvor/";"Coloquial de «por favor», muy usado.";""
