Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"¡Hola!";"Oi!";[sound:ptBR_GREETING_HELLO.mp3];"/oj/";"/oy/";"";""
"¡Buenas!";"Olá!";[sound:ptBR_GREETING_GOOD_DAY.mp3];"/oˈla/";"/o-ˈla/";"Saludo coloquial válido todo el día.";""
"¡Hasta luego!";"Tchau!";[sound:ptBR_FAREWELL_BYE.mp3];"/tʃaw/";"/chow/";"";""
"De nada";"Imagina!";[sound:ptBR_POLITENESS_PLEASE.mp3];"/imaˈʒina/";"/ee-ma-ˈzhee-na/";"Respuesta a “gracias” (= “con gusto”).";"Very common reply to “obrigado(a)”. Also “De nada!”."
"Gracias";"Obrigado!";[sound:ptBR_POLITENESS_THANK_YOU.mp3];"/oβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Female says “Obrigada!”."
"¡Mil gracias!";"Muito obrigado!";[sound:ptBR_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu oβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Sí";"Sim";[sound:ptBR_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"No";"Não";[sound:ptBR_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/nah-oong~/";"";""
"Perdón";"Com licença";[sound:ptBR_POLITENESS_EXCUSE_ME.mp3];"/kõ liˈsẽsɐ/";"/koh lee-ˈsen-sa/";"";""
"Me llamo …";"Eu sou …";[sound:ptBR_INTRODUCTION_MY_NAME.mp3];"/ew sow/";"/eh-oo soh/";"";""
"¡Encantado/a!";"Prazer!";[sound:ptBR_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾaˈzeɾ/";"/pra-ˈzehr/";"“Encantado” si eres hombre; “Encantada” si eres mujer.";""
"¿Cómo te llamas?";"Como você se chama?";[sound:ptBR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu voˈse si ˈʃɐmɐ/";"/ˈko-moo vo-ˈseh si ˈsha-ma/";"";""
"No entiendo.";"Não entendi.";[sound:ptBR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ ẽtẽˈdʒi/";"/nau en-ten-JEE/";"";""
"¿Hablas inglés?";"Você fala inglês?";[sound:ptBR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/voˈse ˈfalɐ ĩˈɡlejs/";"/vo-ˈseh ˈfa-la ing-ˈglays?/";"";""
"¿Puedes hablar un poco más despacio, porfa?";"Pode falar mais devagar, por favor?";[sound:ptBR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpɔdʒi faˈlaʁ majʒ dʒevaˈɡaʁ poʁ faˈvoʁ/";"/POH-jee fa-ˈlar mys je-va-ˈgar, por fa-ˈvor?/";"";""
"Mi español no es muy bueno.";"Meu português não é muito bom.";[sound:ptBR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mew poʁtuˈɡejs nɐ̃w̃ ɛ ˈmũjtu bõ/";"/meh-oo por-too-ˈgays nao eh ˈmwin-too bohng~/";"";""
"¿Cómo se dice … en español?";"Como se diz … em português?";[sound:ptBR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu si ˈdʒis ẽ poʁtuˈɡejs/";"/ˈko-moo see ˈjeez eng por-too-ˈgays?/";"";""
"La carta, porfa.";"Cardápio, por favor.";[sound:ptBR_REQUEST_MENU.mp3];"/kaʁˈdapju poʁ faˈvoʁ/";"/kar-ˈda-pyu, por fa-ˈvor/";"";""
"Café";"Café";[sound:ptBR_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Agua";"Água";[sound:ptBR_REQUEST_WATER.mp3];"/ˈaɡwa/";"/ˈa-gwa/";"";""
"porfa";"por favor";[sound:ptBR_REQUEST_PLEASE.mp3];"/poʁ faˈvoʁ/";"/por fa-ˈvor/";"Forma coloquial de «por favor» muy usada en España.";""
"La cuenta, porfa.";"A conta, por favor.";[sound:ptBR_REQUEST_BILL.mp3];"/a ˈkõtɐ poʁ faˈvoʁ/";"/a ˈkon-ta, por fa-ˈvor/";"";""
"Soy vegetariano/a.";"Sou vegetariano/a.";[sound:ptBR_DINING_VEGETARIAN.mp3];"/soʊ veʒetaɾiˈɐ̃nu(a)/";"/soh ve-zhe-ta-ree-ˈa-no(-a)/";"“-a” para femenino.";"“-a” for female."
"¡Estaba riquísimo!";"Tava uma delícia!";[sound:ptBR_DINING_DELICIOUS.mp3];"/ˈtavɐ ˈumɐ deˈlisjɐ/";"/ˈta-va ˈu-ma de-ˈlee-sya/";"";""
"¡Está muy rico!";"Tá muito bom!";[sound:ptBR_DINING_YUMMY.mp3];"/ta ˈmũjtu bõ/";"/ta ˈmwin-too bohng~/";"";""
"¿Dónde está la estación?";"Onde fica a estação?";[sound:ptBR_NAVIGATION_TRAIN_STATION.mp3];"/ˈõdʒi ˈfikɐ a es.taˈsãw̃/";"/ON-jee FEE-ka a es-ta-ˈsown~/";"";""
"¿Dónde está el baño?";"Onde fica o banheiro?";[sound:ptBR_NAVIGATION_RESTROOM.mp3];"/ˈõdʒi ˈfikɐ u bɐˈɲejɾo/";"/ON-jee FEE-ka oo ban-ˈyay-ro/";"";""
"¿Dónde hay un cajero?";"Onde tem caixa eletrônico?";[sound:ptBR_NAVIGATION_ATM.mp3];"/ˈõdʒi tẽj̃ ˈkajʃɐ eletɾoˈniko/";"/ON-jee tayn ˈkai-sha e-le-tro-ˈnee-ko/";"";""
"¿Cuánto cuesta?";"Quanto é?";[sound:ptBR_SHOPPING_HOW_MUCH.mp3];"/ˈkwɐ̃tu ɛ/";"/ˈkwan-too eh?/";"";""
"¿Puedo pagar con tarjeta?";"Posso pagar com cartão?";[sound:ptBR_SHOPPING_PAY_BY_CARD.mp3];"/ˈpɔsu paˈɡaʁ kõ kaʁˈtãw̃/";"/ˈpo-su pa-ˈgar kong kar-ˈtawn~?/";"";""
"Pago en efectivo.";"Pago em dinheiro.";[sound:ptBR_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɡu ẽ dʒiˈɲejɾu/";"/ˈpa-go eng jee-ˈnyay-roo/";"";""
"¡Ayuda!";"Socorro!";[sound:ptBR_EMERGENCY_HELP.mp3];"/soˈkoʁu/";"/so-ˈko-hoo/";"";""
"¡Necesito un médico!";"Preciso de um médico!";[sound:ptBR_EMERGENCY_DOCTOR.mp3];"/pɾeˈsizʊ dʒi ũ ˈmɛdʒiku/";"/pre-ˈsee-zu jee oon ˈmeh-jee-koo/";"";""
