Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Hallo!";[sound:deDE_GREETING_HELLO.mp3];"/haˈloː/";"/ha-ˈloh/";"";""
"Bonjour !";"Guten Tag!";[sound:deDE_GREETING_GOOD_DAY.mp3];"/ˈɡuːtən taːk/";"/ˈguu-ten taak/";"Usable all daytime.";"Neutral; passt den ganzen Tag."
"À plus !";"Tschüss!";[sound:deDE_FAREWELL_BYE.mp3];"/t͡ʃʏs/";"/tschys/";"";""
"De rien !";"Gern!";[sound:deDE_POLITENESS_PLEASE.mp3];"/ɡɛʁn/";"/gern/";"Reply to “merci”.";"Als Antwort auf „Danke“ (= „Gern geschehen“/„Kein Problem“)."
"Merci !";"Danke!";[sound:deDE_POLITENESS_THANK_YOU.mp3];"/ˈdaŋkə/";"/ˈdan-kə/";"";""
"Merci beaucoup !";"Vielen Dank!";[sound:deDE_POLITENESS_MANY_THANKS.mp3];"/ˈfiːlən ˈdaŋk/";"/ˈfee-lən ˈdank/";"";""
"Oui";"Ja";[sound:deDE_CONFIRMATION_YES.mp3];"/jaː/";"/yaa/";"";""
"Non";"Nein";[sound:deDE_CONFIRMATION_NO.mp3];"/naɪ̯n/";"/nain/";"";""
"Pardon";"Entschuldigung";[sound:deDE_POLITENESS_EXCUSE_ME.mp3];"/ɛntˈʃʊldɪɡʊŋ/";"/ent-ˈshul-di-gung/";"";""
"Je m’appelle …";"Ich heiße …";[sound:deDE_INTRODUCTION_MY_NAME.mp3];"/ɪç ˈhaɪ̯sə/";"/ich ˈhai-se/";"";""
"Enchanté(e) !";"Freut mich!";[sound:deDE_INTRODUCTION_NICE_TO_MEET.mp3];"/fʁɔɪ̯t mɪç/";"/froit mich/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"Wie heißt du?";[sound:deDE_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/viː ˈhaɪ̯st duː/";"/vee ˈhaist du/";"";"Zu Gleichaltrigen; höflich: „Wie heißen Sie?“"
"Je comprends pas.";"Ich versteh’s nicht.";[sound:deDE_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ɪç fɛɐ̯ˈʃteːs nɪçt/";"/ich fer-ˈshtehs nicht/";"";""
"Vous parlez anglais ?";"Sprechen Sie Englisch?";[sound:deDE_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈʃpʁɛçn̩ ziː ˈɛŋlɪʃ/";"/ˈshprech-en zee ˈeng-lish/";"";""
"Plus lentement, s’il vous plaît.";"Ein bisschen langsamer, bitte.";[sound:deDE_COMMUNICATION_SPEAK_SLOWER.mp3];"/aɪ̯n ˈbɪsçn̩ ˈlaŋzamɐ ˈbɪtə/";"/ain ˈbis-chen ˈlang-za-mer ˈbi-te/";"";""
"Je parle pas très bien français.";"Mein Deutsch ist noch nicht so gut.";[sound:deDE_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ̯n dɔʏ̯t͡ʃ ɪst nɔx nɪçt zoː ɡuːt/";"/main doitsh ist noch nicht zo guut/";"";""
"Comment on dit … en français ?";"Wie sagt man … auf Deutsch?";[sound:deDE_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/viː zaːkt man aʊ̯f dɔʏ̯t͡ʃ/";"/vee zaakt man auf doitsh/";"";""
"La carte, s’il vous plaît.";"Speisekarte, bitte.";[sound:deDE_REQUEST_MENU.mp3];"/ˈʃpaɪ̯zəˌkaʁtə ˈbɪtə/";"/ˈshpai-ze-kar-te ˈbi-te/";"";""
"Café";"Kaffee";[sound:deDE_REQUEST_COFFEE.mp3];"/ˈkafeː/";"/ˈka-feh/";"";""
"Eau";"Wasser";[sound:deDE_REQUEST_WATER.mp3];"/ˈvasɐ/";"/ˈvas-ser/";"";""
"s’il vous plaît";"bitte";[sound:deDE_REQUEST_PLEASE.mp3];"/ˈbɪtə/";"/ˈbi-te/";"";"Beim Bestellen/Bitten."
"L’addition, s’il vous plaît.";"Die Rechnung, bitte.";[sound:deDE_REQUEST_BILL.mp3];"/diː ˈʁɛçnʊŋ ˈbɪtə/";"/dee ˈrech-nung ˈbi-te/";"";""
"Je suis végétarien(ne).";"Ich bin Vegetarier(in).";[sound:deDE_DINING_VEGETARIAN.mp3];"/ɪç bɪn veɡeˈtaːʁi̯ɐ(ɪn)/";"/ich bin ve-ge-ˈtaar-ee-er(-in)/";"Add -(ne) if female.";"„-in“ für weiblich."
"C’était délicieux !";"War sehr lecker!";[sound:deDE_DINING_DELICIOUS.mp3];"/vaːɐ̯ zeːɐ̯ ˈlɛkɐ/";"/var zair ˈle-ker/";"";""
"C’est trop bon !";"Schmeckt richtig gut!";[sound:deDE_DINING_YUMMY.mp3];"/ʃmɛkt ˈʁɪçtɪç ɡuːt/";"/shmekt ˈrich-tich guut/";"";""
