Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Hi!";[sound:enUS_GREETING_HELLO.mp3];"/haɪ/";"/hai/";"";""
"Bonjour !";"Hello!";[sound:enUS_GREETING_GOOD_DAY.mp3];"/həˈloʊ/";"/huh-ˈloh/";"Usable all daytime.";""
"À plus !";"Bye!";[sound:enUS_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"De rien !";"No problem!";[sound:enUS_POLITENESS_PLEASE.mp3];"/noʊ ˈprɑbləm/";"/noh ˈprah-bləm/";"Reply to “merci”.";"Reply to “thanks” (= “you’re welcome”)."
"Merci !";"Thanks!";[sound:enUS_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Merci beaucoup !";"Thanks so much!";[sound:enUS_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks soʊ ˈmʌtʃ/";"/thanks soh ˈmuhch/";"";""
"Oui";"Yes";[sound:enUS_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Non";"No";[sound:enUS_CONFIRMATION_NO.mp3];"/noʊ/";"/noh/";"";""
"Pardon";"Excuse me";[sound:enUS_POLITENESS_EXCUSE_ME.mp3];"/ɪkˈskjuz mi/";"/ik-ˈskyooz mee/";"";""
"Je m’appelle …";"I'm …";[sound:enUS_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Enchanté(e) !";"Nice to meet you!";[sound:enUS_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmit ju/";"/nais tə ˈmeet yoo/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"What's your name?";[sound:enUS_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wʌts jɚ ˈneɪm/";"/wuts yer ˈnaim/";"";""
"Je comprends pas.";"I don't get it.";[sound:enUS_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ doʊnt ˈɡɛt ɪt/";"/ai dont GET it/";"";""
"Vous parlez anglais ?";"Do you speak English?";[sound:enUS_COMMUNICATION_SPEAK_ENGLISH.mp3];"/du ju spik ˈɪŋɡlɪʃ/";"/doo yoo speek ˈing-glish/";"";""
