Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Bonjour !";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Usable all daytime.";"Saludo coloquial válido todo el día."
"À plus !";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"De rien !";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Reply to “merci”.";"Respuesta a “gracias” (= “con gusto”)."
"Merci !";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"Merci beaucoup !";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Oui";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Non";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Pardon";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"Je m’appelle …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Enchanté(e) !";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"Add (e) if you’re female.";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"Tu t’appelles comment ?";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"";""
"Je comprends pas.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Vous parlez anglais ?";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"Plus lentement, s’il vous plaît.";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"Je parle pas très bien français.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Comment on dit … en français ?";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"La carte, s’il vous plaît.";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Café";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Eau";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"s’il vous plaît";"porfa";[sound:esES_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"";"Forma coloquial de «por favor» muy usada en España."
"L’addition, s’il vous plaît.";"La cuenta, porfa.";[sound:esES_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Je suis végétarien(ne).";"Soy vegetariano/a.";[sound:esES_DINING_VEGETARIAN.mp3];"/soj βegetaˈɾjano(a)/";"/soy ve-he-ta-ˈrya-no(-a)/";"Add -(ne) if female.";"“-a” para femenino."
"C’était délicieux !";"¡Estaba riquísimo!";[sound:esES_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"C’est trop bon !";"¡Está muy rico!";[sound:esES_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Où est la gare ?";"¿Dónde está la estación?";[sound:esES_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde esˈta la estaˈθjon/";"/ˈdon-de es-ˈta la es-ta-ˈthyon/";"";""
"Où sont les toilettes ?";"¿Dónde está el baño?";[sound:esES_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Où est le distributeur ?";"¿Dónde hay un cajero?";[sound:esES_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"C’est combien ?";"¿Cuánto cuesta?";[sound:esES_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈkwesta/";"/ˈkwan-to ˈkwes-ta/";"";""
"Je peux payer par carte ?";"¿Puedo pagar con tarjeta?";[sound:esES_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"Je paie en espèces.";"Pago en efectivo.";[sound:esES_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Au secours !";"¡Ayuda!";[sound:esES_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-da/";"";""
"J’ai besoin d’un médecin !";"¡Necesito un médico!";[sound:esES_EMERGENCY_DOCTOR.mp3];"/neθeˈθito un ˈmeðiko/";"/ne-the-ˈthi-to un ˈme-di-ko/";"";""
"Appelez la police !";"¡Llame a la policía!";[sound:esES_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈθia/";"/ˈya-me a la po-li-ˈthia/";"";""
"un";"uno";[sound:esES_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"deux";"dos";[sound:esES_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"trois";"tres";[sound:esES_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"quatre";"cuatro";[sound:esES_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"cinq";"cinco";[sound:esES_NUMBER_FIVE.mp3];"/ˈθiŋko/";"/ˈthin-ko/";"";""
"six";"seis";[sound:esES_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
"sept";"siete";[sound:esES_NUMBER_SEVEN.mp3];"/ˈsjete/";"/ˈsye-te/";"";""
"huit";"ocho";[sound:esES_NUMBER_EIGHT.mp3];"/ˈot͡ʃo/";"/ˈo-cho/";"";""
"neuf";"nueve";[sound:esES_NUMBER_NINE.mp3];"/ˈnweβe/";"/ˈnwe-be/";"";""
"dix";"diez";[sound:esES_NUMBER_TEN.mp3];"/ˈdjeθ/";"/ˈdye-th/";"";""
