Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"Bonjour !";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"Usable all daytime.";""
"À plus !";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"De rien !";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"Reply to “merci”.";"Reply to “grazie”."
"Merci !";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"";""
"Merci beaucoup !";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"Oui";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"Non";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"Pardon";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"";"Informal; polite: “Scusi”."
"Je m’appelle …";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"Enchanté(e) !";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"";""
