Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"どうも！";[sound:jaJP_GREETING_HELLO.mp3];"/doːmo/";"/doo-mo/";"";""
"Bonjour !";"こんにちは！";[sound:jaJP_GREETING_GOOD_DAY.mp3];"/koɲɲi̥t͡ɕiwa/";"/kon-ni-chi-wa/";"Usable all daytime.";""
"À plus !";"じゃあね！";[sound:jaJP_FAREWELL_BYE.mp3];"/dʑaːne/";"/jaa-neh/";"";""
"De rien !";"いえいえ";[sound:jaJP_POLITENESS_PLEASE.mp3];"/ie̞ ie̞/";"/ee-eh ee-eh/";"Reply to “merci”.";"Casual “you’re welcome”. Polite: どういたしまして。"
"Merci !";"ありがとう！";[sound:jaJP_POLITENESS_THANK_YOU.mp3];"/aɾi̥ɡaꜜtoː/";"/a-ree-ga-TOH/";"";""
"Merci beaucoup !";"どうもありがとう！";[sound:jaJP_POLITENESS_MANY_THANKS.mp3];"/doːmo aɾi̥ɡaꜜtoː/";"/DOH-mo a-ree-ga-TOH/";"";""
"Oui";"はい";[sound:jaJP_CONFIRMATION_YES.mp3];"/hai/";"/hai/";"";""
"Non";"いいえ";[sound:jaJP_CONFIRMATION_NO.mp3];"/iːe/";"/ee-eh/";"";""
"Pardon";"すみません";[sound:jaJP_POLITENESS_EXCUSE_ME.mp3];"/sɯmimasẽ̞ɴ/";"/su-mi-ma-sen/";"";""
"Je m’appelle …";"…です。";[sound:jaJP_INTRODUCTION_MY_NAME.mp3];"/desɯ/";"/dess/";"";""
"Enchanté(e) !";"はじめまして！";[sound:jaJP_INTRODUCTION_NICE_TO_MEET.mp3];"/ha̠dʑime̞maɕite̞/";"/ha-ji-me-ma-shte/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"お名前は？";[sound:jaJP_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/o namae wa/";"/o na-ma-eh wa?/";"";""
"Je comprends pas.";"わかりません。";[sound:jaJP_COMMUNICATION_DONT_UNDERSTAND.mp3];"/wakaɾimasẽ̞ɴ/";"/wa-ka-ri-ma-sen/";"";""
"Vous parlez anglais ?";"英語、話せますか？";[sound:jaJP_COMMUNICATION_SPEAK_ENGLISH.mp3];"/eːɡo hanase̞masɯka/";"/eh-go ha-na-se-mas-ka?/";"";""
"Plus lentement, s’il vous plaît.";"もう少しゆっくりお願いします。";[sound:jaJP_COMMUNICATION_SPEAK_SLOWER.mp3];"/moː so̞ɕi jɯkːɯɾi one̞ɡaishimasɯ/";"/moh- soo-shi yook-ku-ri o-ne-gai-shi-ma-su/";"";""
"Je parle pas très bien français.";"日本語はあまり上手じゃないです。";[sound:jaJP_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nihoŋɡo wa a̠maɾi d͡ʑoːzɯ d͡ʑa nai desɯ/";"/ni-hon-go wa a-ma-ri jo-zu ja nai dess/";"";""
"Comment on dit … en français ?";"…は日本語で何と言いますか？";[sound:jaJP_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/wa nihoŋɡo de̞ naɴ to iimasɯka/";"/… wa ni-hon-go de nan to ee-mas-ka?/";"";""
"La carte, s’il vous plaît.";"メニューお願いします。";[sound:jaJP_REQUEST_MENU.mp3];"/me̞ɲɯː one̞ɡaishimasɯ/";"/me-nyuu o-ne-gai-shi-ma-su/";"";""
"Café";"コーヒー";[sound:jaJP_REQUEST_COFFEE.mp3];"/koːçiː/";"/koo-hee/";"";""
"Eau";"お水";[sound:jaJP_REQUEST_WATER.mp3];"/omizu/";"/o-mee-zoo/";"";""
"s’il vous plaît";"お願いします";[sound:jaJP_REQUEST_PLEASE.mp3];"/one̞ɡaishimasɯ/";"/o-ne-gai-shi-ma-su/";"";""
"L’addition, s’il vous plaît.";"お会計お願いします。";[sound:jaJP_REQUEST_BILL.mp3];"/o kaikeː one̞ɡaishimasɯ/";"/o kai-kay o-ne-gai-shi-ma-su/";"";""
"Je suis végétarien(ne).";"ベジタリアンです。";[sound:jaJP_DINING_VEGETARIAN.mp3];"/bed͡ʑitaɾiaɴ desɯ/";"/be-ji-ta-ri-an dess/";"Add -(ne) if female.";""
"C’était délicieux !";"すごくおいしかった！";[sound:jaJP_DINING_DELICIOUS.mp3];"/sɯɡo̞kɯ oi̯ɕikatta/";"/su-go-ku oi-shi-kat-ta/";"";""
"C’est trop bon !";"めっちゃおいしい！";[sound:jaJP_DINING_YUMMY.mp3];"/met͡ɕːa oi̯ɕiː/";"/met-cha oi-shee/";"";"Casual emphasis; very common."
"Où est la gare ?";"駅はどこですか？";[sound:jaJP_NAVIGATION_TRAIN_STATION.mp3];"/e̞ki wa do̞ko̞ de̞sɯka/";"/e-ki wa do-ko dess-ka?/";"";""
"Où sont les toilettes ?";"トイレはどこですか？";[sound:jaJP_NAVIGATION_RESTROOM.mp3];"/toi̯ɾe̞ wa do̞ko̞ de̞sɯka/";"/toi-re wa do-ko dess-ka?/";"";""
"Où est le distributeur ?";"ATMはどこですか？";[sound:jaJP_NAVIGATION_ATM.mp3];"/eːtiːe̞mɯ wa do̞ko̞ de̞sɯka/";"/ay-tee-em wa do-ko dess-ka?/";"";""
"C’est combien ?";"これ、いくらですか？";[sound:jaJP_SHOPPING_HOW_MUCH.mp3];"/koɾe ikɯɾa de̞sɯka/";"/ko-re, i-ku-ra dess-ka?/";"";""
"Je peux payer par carte ?";"カードで払えますか？";[sound:jaJP_SHOPPING_PAY_BY_CARD.mp3];"/kaːdo̞ de̞ haɾae̞masɯka/";"/kaa-do de ha-ra-eh-mas-ka?/";"";""
"Je paie en espèces.";"現金で払います。";[sound:jaJP_SHOPPING_PAY_BY_CASH.mp3];"/ɡe̞ŋkiɴ de̞ haɾai̯masɯ/";"/gen-kin de ha-rai-mas/";"";""
"Au secours !";"助けて！";[sound:jaJP_EMERGENCY_HELP.mp3];"/tasɯke̞te̞/";"/ta-su-ke-te/";"";""
