Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Salut !";"Oi!";[sound:ptBR_GREETING_HELLO.mp3];"/oj/";"/oy/";"";""
"Bonjour !";"Olá!";[sound:ptBR_GREETING_GOOD_DAY.mp3];"/oˈla/";"/o-ˈla/";"Usable all daytime.";""
"À plus !";"Tchau!";[sound:ptBR_FAREWELL_BYE.mp3];"/tʃaw/";"/chow/";"";""
"De rien !";"Imagina!";[sound:ptBR_POLITENESS_PLEASE.mp3];"/imaˈʒina/";"/ee-ma-ˈzhee-na/";"Reply to “merci”.";"Very common reply to “obrigado(a)”. Also “De nada!”."
"Merci !";"Obrigado!";[sound:ptBR_POLITENESS_THANK_YOU.mp3];"/oβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Female says “Obrigada!”."
"Merci beaucoup !";"Muito obrigado!";[sound:ptBR_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu oβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Oui";"Sim";[sound:ptBR_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Non";"Não";[sound:ptBR_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/nah-oong~/";"";""
"Pardon";"Com licença";[sound:ptBR_POLITENESS_EXCUSE_ME.mp3];"/kõ liˈsẽsɐ/";"/koh lee-ˈsen-sa/";"";""
"Je m’appelle …";"Eu sou …";[sound:ptBR_INTRODUCTION_MY_NAME.mp3];"/ew sow/";"/eh-oo soh/";"";""
"Enchanté(e) !";"Prazer!";[sound:ptBR_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾaˈzeɾ/";"/pra-ˈzehr/";"Add (e) if you’re female.";""
"Tu t’appelles comment ?";"Como você se chama?";[sound:ptBR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu voˈse si ˈʃɐmɐ/";"/ˈko-moo vo-ˈseh si ˈsha-ma/";"";""
"Je comprends pas.";"Não entendi.";[sound:ptBR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ ẽtẽˈdʒi/";"/nau en-ten-JEE/";"";""
"Vous parlez anglais ?";"Você fala inglês?";[sound:ptBR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/voˈse ˈfalɐ ĩˈɡlejs/";"/vo-ˈseh ˈfa-la ing-ˈglays?/";"";""
"Plus lentement, s’il vous plaît.";"Pode falar mais devagar, por favor?";[sound:ptBR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpɔdʒi faˈlaʁ majʒ dʒevaˈɡaʁ poʁ faˈvoʁ/";"/POH-jee fa-ˈlar mys je-va-ˈgar, por fa-ˈvor?/";"";""
"Je parle pas très bien français.";"Meu português não é muito bom.";[sound:ptBR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mew poʁtuˈɡejs nɐ̃w̃ ɛ ˈmũjtu bõ/";"/meh-oo por-too-ˈgays nao eh ˈmwin-too bohng~/";"";""
"Comment on dit … en français ?";"Como se diz … em português?";[sound:ptBR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu si ˈdʒis ẽ poʁtuˈɡejs/";"/ˈko-moo see ˈjeez eng por-too-ˈgays?/";"";""
"La carte, s’il vous plaît.";"Cardápio, por favor.";[sound:ptBR_REQUEST_MENU.mp3];"/kaʁˈdapju poʁ faˈvoʁ/";"/kar-ˈda-pyu, por fa-ˈvor/";"";""
"Café";"Café";[sound:ptBR_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Eau";"Água";[sound:ptBR_REQUEST_WATER.mp3];"/ˈaɡwa/";"/ˈa-gwa/";"";""
"s’il vous plaît";"por favor";[sound:ptBR_REQUEST_PLEASE.mp3];"/poʁ faˈvoʁ/";"/por fa-ˈvor/";"";""
"L’addition, s’il vous plaît.";"A conta, por favor.";[sound:ptBR_REQUEST_BILL.mp3];"/a ˈkõtɐ poʁ faˈvoʁ/";"/a ˈkon-ta, por fa-ˈvor/";"";""
"Je suis végétarien(ne).";"Sou vegetariano/a.";[sound:ptBR_DINING_VEGETARIAN.mp3];"/soʊ veʒetaɾiˈɐ̃nu(a)/";"/soh ve-zhe-ta-ree-ˈa-no(-a)/";"Add -(ne) if female.";"“-a” for female."
"C’était délicieux !";"Tava uma delícia!";[sound:ptBR_DINING_DELICIOUS.mp3];"/ˈtavɐ ˈumɐ deˈlisjɐ/";"/ˈta-va ˈu-ma de-ˈlee-sya/";"";""
"C’est trop bon !";"Tá muito bom!";[sound:ptBR_DINING_YUMMY.mp3];"/ta ˈmũjtu bõ/";"/ta ˈmwin-too bohng~/";"";""
"Où est la gare ?";"Onde fica a estação?";[sound:ptBR_NAVIGATION_TRAIN_STATION.mp3];"/ˈõdʒi ˈfikɐ a es.taˈsãw̃/";"/ON-jee FEE-ka a es-ta-ˈsown~/";"";""
"Où sont les toilettes ?";"Onde fica o banheiro?";[sound:ptBR_NAVIGATION_RESTROOM.mp3];"/ˈõdʒi ˈfikɐ u bɐˈɲejɾo/";"/ON-jee FEE-ka oo ban-ˈyay-ro/";"";""
"Où est le distributeur ?";"Onde tem caixa eletrônico?";[sound:ptBR_NAVIGATION_ATM.mp3];"/ˈõdʒi tẽj̃ ˈkajʃɐ eletɾoˈniko/";"/ON-jee tayn ˈkai-sha e-le-tro-ˈnee-ko/";"";""
"C’est combien ?";"Quanto é?";[sound:ptBR_SHOPPING_HOW_MUCH.mp3];"/ˈkwɐ̃tu ɛ/";"/ˈkwan-too eh?/";"";""
"Je peux payer par carte ?";"Posso pagar com cartão?";[sound:ptBR_SHOPPING_PAY_BY_CARD.mp3];"/ˈpɔsu paˈɡaʁ kõ kaʁˈtãw̃/";"/ˈpo-su pa-ˈgar kong kar-ˈtawn~?/";"";""
