Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Hiya!";[sound:enGB_GREETING_HELLO.mp3];"/ˈhaɪjə/";"/ˈhai-yə/";"";""
"Buongiorno!";"Hello!";[sound:enGB_GREETING_GOOD_DAY.mp3];"/həˈləʊ/";"/hə-ˈloh/";"";"Neutral greeting you can use all day."
"A dopo!";"Bye!";[sound:enGB_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"Prego!";"No worries!";[sound:enGB_POLITENESS_PLEASE.mp3];"/nəʊ ˈwʌriz/";"/noh ˈwuh-reez/";"Reply to “grazie”.";"As a reply to “thanks” (= “you’re welcome”)."
"Grazie!";"Thanks!";[sound:enGB_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Grazie mille!";"Thanks a lot!";[sound:enGB_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks ə ˈlɒt/";"/thanks ə ˈlot/";"";""
"Sì";"Yes";[sound:enGB_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"No";"No";[sound:enGB_CONFIRMATION_NO.mp3];"/nəʊ/";"/noh/";"";""
"Scusa";"Sorry";[sound:enGB_POLITENESS_EXCUSE_ME.mp3];"/ˈsɒri/";"/ˈso-ree/";"Informal; polite: “Scusi”.";"Most common way to get someone’s attention in England."
"Mi chiamo …";"I'm …";[sound:enGB_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Piacere!";"Nice to meet you!";[sound:enGB_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmiːt juː/";"/nais tə ˈmeet yoo/";"";""
"Come ti chiami?";"What's your name?";[sound:enGB_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wɒts jɔː ˈneɪm/";"/wots yaw ˈnaim/";"";""
"Non capisco.";"I don't get it.";[sound:enGB_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ dəʊnt ɡet ɪt/";"/ai dont get it/";"";""
"Parla inglese?";"Do you speak English?";[sound:enGB_COMMUNICATION_SPEAK_ENGLISH.mp3];"/dʊ juː spiːk ˈɪŋɡlɪʃ/";"/du yoo speek ˈing-glish/";"";""
"Un po' più piano, per favore.";"Could you speak a bit slower, please?";[sound:enGB_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd juː spiːk ə bɪt ˈsləʊə, pliːz/";"/kud yoo speek ə bit ˈsloh-ə, pleez/";"";""
"Il mio italiano non è granché.";"My English isn't great.";[sound:enGB_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪz(ə)nt ɡreɪt/";"/mai ˈing-glish ˈiz-nt grate/";"";""
"Come si dice … in italiano?";"How do you say … in English?";[sound:enGB_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ dʊ juː seɪ ɪn ˈɪŋɡlɪʃ/";"/hau du yoo say … in ˈing-glish/";"";""
"Il menù, per favore.";"Menu, please.";[sound:enGB_REQUEST_MENU.mp3];"/ˈmɛnjuː pliːz/";"/ˈmen-yoo pleez/";"";""
"Caffè";"Coffee";[sound:enGB_REQUEST_COFFEE.mp3];"/ˈkɒfi/";"/ˈko-fi/";"";""
"Acqua";"Water";[sound:enGB_REQUEST_WATER.mp3];"/ˈwɔːtə/";"/ˈwaw-tə/";"";""
"per favore";"please";[sound:enGB_REQUEST_PLEASE.mp3];"/pliːz/";"/pleez/";"";"Used when asking for things."
"Il conto, per favore.";"Could we get the bill, please?";[sound:enGB_REQUEST_BILL.mp3];"/kʊd wi ɡɛt ðə bɪl, pliːz/";"/kud wee get thuh bil, pleez/";"";""
"Sono vegetariano/a.";"I'm vegetarian.";[sound:enGB_DINING_VEGETARIAN.mp3];"/aɪm ˌvɛdʒɪˈteəriən/";"/aim vej-i-ˈteh-ree-ən/";"“-a” for female.";""
"Era buonissimo!";"That was delicious!";[sound:enGB_DINING_DELICIOUS.mp3];"/ðæt wɒz dɪˈlɪʃəs/";"/that woz di-ˈli-shəs/";"";""
"È davvero buono!";"This is really tasty!";[sound:enGB_DINING_YUMMY.mp3];"/ðɪs ɪz ˈrɪəli ˈteɪsti/";"/this iz ˈre-ə-lee ˈtay-stee/";"";""
"Dov’è la stazione?";"Where's the train station?";[sound:enGB_NAVIGATION_TRAIN_STATION.mp3];"/weəz ðə treɪn ˈsteɪʃən/";"/wairz thuh trayn ˈstay-shən/";"";""
