Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"¡Hola!";[sound:esCO_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Buongiorno!";"¡Buenas!";[sound:esCO_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"";"Saludo coloquial que funciona todo el día."
"A dopo!";"¡Chao!";[sound:esCO_FAREWELL_BYE.mp3];"/ˈt͡ʃao/";"/ˈchao/";"";""
"Prego!";"Con gusto";[sound:esCO_POLITENESS_PLEASE.mp3];"/koŋ ˈɡusto/";"/kon ˈgus-to/";"Reply to “grazie”.";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia."
"Grazie!";"Gracias";[sound:esCO_POLITENESS_THANK_YOU.mp3];"/ˈɡɾasjas/";"/ˈgra-syas/";"";""
"Grazie mille!";"¡Mil gracias!";[sound:esCO_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾasjas/";"/mil ˈgra-syas/";"";""
"Sì";"Sí";[sound:esCO_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"No";"No";[sound:esCO_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Scusa";"Perdón";[sound:esCO_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"Informal; polite: “Scusi”.";""
"Mi chiamo …";"Me llamo …";[sound:esCO_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Piacere!";"¡Mucho gusto!";[sound:esCO_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈmut͡ʃo ˈɡusto/";"/ˈmu-cho ˈgus-to/";"";""
"Come ti chiami?";"¿Cómo te llamas?";[sound:esCO_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"";"Formal: «¿Cómo se llama?»"
"Non capisco.";"No entiendo.";[sound:esCO_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Parla inglese?";"¿Habla inglés?";[sound:esCO_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβla iŋˈgles/";"/ˈa-bla ing-ˈgles/";"";""
"Un po' più piano, per favore.";"¿Puede hablar un poquito más despacio, porfa?";[sound:esCO_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðe aβˈlaɾ un poˈkito mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-de ab-ˈlar un po-ˈkee-to mas des-ˈpa-syo ˈpor-fa/";"";""
"Il mio italiano non è granché.";"Mi español no es muy bueno.";[sound:esCO_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Come si dice … in italiano?";"¿Cómo se dice … en español?";[sound:esCO_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈdise en espaˈɲol/";"/ˈko-mo se ˈdee-se en es-pa-ˈnyol/";"";""
"Il menù, per favore.";"La carta, porfa.";[sound:esCO_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Caffè";"Café";[sound:esCO_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";"En Colombia el café negro se pide también como «tinto»."
"Acqua";"Agua";[sound:esCO_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"per favore";"porfa";[sound:esCO_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"";"Coloquial de «por favor», muy usado."
"Il conto, per favore.";"La cuenta, porfa.";[sound:esCO_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Sono vegetariano/a.";"Soy vegetariano/a.";[sound:esCO_DINING_VEGETARIAN.mp3];"/soj βeɣetaˈɾjano(a)/";"/soy ve-he-ta-ˈree-a-no(-a)/";"“-a” for female.";"«-a» para femenino."
"Era buonissimo!";"¡Estaba riquísimo!";[sound:esCO_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"È davvero buono!";"¡Está muy rico!";[sound:esCO_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Dov’è la stazione?";"¿Dónde queda la estación?";[sound:esCO_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde ˈkeða la estaˈsjon/";"/ˈdon-de ˈke-da la es-ta-ˈsion/";"";""
"Dov’è il bagno?";"¿Dónde está el baño?";[sound:esCO_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Dov’è il bancomat?";"¿Dónde hay un cajero?";[sound:esCO_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"Quanto costa?";"¿Cuánto vale esto?";[sound:esCO_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈβale ˈesto/";"/ˈkwan-to ˈba-le ˈes-to/";"";""
"Posso pagare con la carta?";"¿Puedo pagar con tarjeta?";[sound:esCO_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
