Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Salut !";[sound:frFR_GREETING_HELLO.mp3];"/saly/";"/sa-ly/";"";""
"Buongiorno!";"Bonjour !";[sound:frFR_GREETING_GOOD_DAY.mp3];"/bɔ̃ʒuʁ/";"/bon-ˈʒur/";"";"Usable all daytime."
"A dopo!";"À plus !";[sound:frFR_FAREWELL_BYE.mp3];"/a ply/";"/a plu/";"";""
"Prego!";"De rien !";[sound:frFR_POLITENESS_PLEASE.mp3];"/də ʁjɛ̃/";"/də ryehn/";"Reply to “grazie”.";"Reply to “merci”."
"Grazie!";"Merci !";[sound:frFR_POLITENESS_THANK_YOU.mp3];"/mɛʁsi/";"/mer-see/";"";""
"Grazie mille!";"Merci beaucoup !";[sound:frFR_POLITENESS_MANY_THANKS.mp3];"/mɛʁsi boˈku/";"/mer-see bo-ˈkoo/";"";""
"Sì";"Oui";[sound:frFR_CONFIRMATION_YES.mp3];"/wi/";"/wee/";"";""
"No";"Non";[sound:frFR_CONFIRMATION_NO.mp3];"/nɔ̃/";"/noh~/";"";""
"Scusa";"Pardon";[sound:frFR_POLITENESS_EXCUSE_ME.mp3];"/paʁdɔ̃/";"/par-don~/";"Informal; polite: “Scusi”.";""
"Mi chiamo …";"Je m’appelle …";[sound:frFR_INTRODUCTION_MY_NAME.mp3];"/ʒə mapɛl/";"/zhə ma-pel/";"";""
"Piacere!";"Enchanté(e) !";[sound:frFR_INTRODUCTION_NICE_TO_MEET.mp3];"/ɑ̃ʃɑ̃te/";"/on-shon-ˈteh/";"";"Add (e) if you’re female."
"Come ti chiami?";"Tu t’appelles comment ?";[sound:frFR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ty tapɛl kɔmɑ̃/";"/tu ta-pel ko-mon~/";"";""
"Non capisco.";"Je comprends pas.";[sound:frFR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ʒə kɔ̃pʁɑ̃ pa/";"/zhə kon~-pran~ pa/";"";""
"Parla inglese?";"Vous parlez anglais ?";[sound:frFR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/vu paʁle ɑ̃ɡlɛ/";"/voo par-lay on-glay?/";"";""
"Un po' più piano, per favore.";"Plus lentement, s’il vous plaît.";[sound:frFR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ply lɑ̃tmɑ̃ sil vu plɛ/";"/plü lon~-tmon~ seel voo pleh/";"";""
"Il mio italiano non è granché.";"Je parle pas très bien français.";[sound:frFR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ʒə paʁl pa tʁɛ bjɛ̃ fʁɑ̃sɛ/";"/zhə parl pa tre byehn fron-seh/";"";""
"Come si dice … in italiano?";"Comment on dit … en français ?";[sound:frFR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/kɔmɑ̃ ɔ̃ di ɑ̃ fʁɑ̃sɛ/";"/ko-mon~ on dee on fron-seh?/";"";""
"Il menù, per favore.";"La carte, s’il vous plaît.";[sound:frFR_REQUEST_MENU.mp3];"/la kaʁt sil vu plɛ/";"/la kart seel voo pleh/";"";""
"Caffè";"Café";[sound:frFR_REQUEST_COFFEE.mp3];"/kafe/";"/ka-feh/";"";""
"Acqua";"Eau";[sound:frFR_REQUEST_WATER.mp3];"/o/";"/oh/";"";""
"per favore";"s’il vous plaît";[sound:frFR_REQUEST_PLEASE.mp3];"/sil vu plɛ/";"/seel voo pleh/";"";""
"Il conto, per favore.";"L’addition, s’il vous plaît.";[sound:frFR_REQUEST_BILL.mp3];"/ladisjɔ̃ sil vu plɛ/";"/la-dee-syon~ seel voo pleh/";"";""
"Sono vegetariano/a.";"Je suis végétarien(ne).";[sound:frFR_DINING_VEGETARIAN.mp3];"/ʒə sɥi veʒetaʁjɛn/";"/zhə swee ve-zhe-ta-ryen/";"“-a” for female.";"Add -(ne) if female."
"Era buonissimo!";"C’était délicieux !";[sound:frFR_DINING_DELICIOUS.mp3];"/sete delisjø/";"/seh-teh de-lee-syuh/";"";""
"È davvero buono!";"C’est trop bon !";[sound:frFR_DINING_YUMMY.mp3];"/se tʁo bɔ̃/";"/seh tro bon~/";"";""
"Dov’è la stazione?";"Où est la gare ?";[sound:frFR_NAVIGATION_TRAIN_STATION.mp3];"/u ɛ la ɡaʁ/";"/oo eh la gar/";"";""
"Dov’è il bagno?";"Où sont les toilettes ?";[sound:frFR_NAVIGATION_RESTROOM.mp3];"/u sɔ̃ le twalɛt/";"/oo son~ lay twa-let/";"";""
"Dov’è il bancomat?";"Où est le distributeur ?";[sound:frFR_NAVIGATION_ATM.mp3];"/u ɛ lə distʁibyˈtœʁ/";"/oo eh lə dis-tri-bü-ˈtœr/";"";""
"Quanto costa?";"C’est combien ?";[sound:frFR_SHOPPING_HOW_MUCH.mp3];"/se kɔ̃bjɛ̃/";"/seh kon~-byehn?/";"";""
"Posso pagare con la carta?";"Je peux payer par carte ?";[sound:frFR_SHOPPING_PAY_BY_CARD.mp3];"/ʒə pø peje paʁ kaʁt/";"/zhə pœ pay-yay par kart?/";"";""
"Pago in contanti.";"Je paie en espèces.";[sound:frFR_SHOPPING_PAY_BY_CASH.mp3];"/ʒə pɛ ɑ̃n ɛspɛs/";"/zhə peh on es-pess/";"";""
"Aiuto!";"Au secours !";[sound:frFR_EMERGENCY_HELP.mp3];"/o səkuʁ/";"/oh sə-ˈkoor/";"";""
"Ho bisogno di un medico!";"J’ai besoin d’un médecin !";[sound:frFR_EMERGENCY_DOCTOR.mp3];"/ʒe bəzwɛ̃ dœ̃ medsɛ̃/";"/zhay bə-zwehn dun med-senh/";"";""
"Chiami la polizia!";"Appelez la police !";[sound:frFR_EMERGENCY_POLICE.mp3];"/ap(ə)le la pɔlis/";"/a-peh-lay la po-lees/";"";""
"uno";"un";[sound:frFR_NUMBER_ONE.mp3];"/œ̃/";"/uhn~/";"";""
"due";"deux";[sound:frFR_NUMBER_TWO.mp3];"/dø/";"/døh/";"";""
