Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Oi!";[sound:ptBR_GREETING_HELLO.mp3];"/oj/";"/oy/";"";""
"Buongiorno!";"Olá!";[sound:ptBR_GREETING_GOOD_DAY.mp3];"/oˈla/";"/o-ˈla/";"";""
"A dopo!";"Tchau!";[sound:ptBR_FAREWELL_BYE.mp3];"/tʃaw/";"/chow/";"";""
"Prego!";"Imagina!";[sound:ptBR_POLITENESS_PLEASE.mp3];"/imaˈʒina/";"/ee-ma-ˈzhee-na/";"Reply to “grazie”.";"Very common reply to “obrigado(a)”. Also “De nada!”."
"Grazie!";"Obrigado!";[sound:ptBR_POLITENESS_THANK_YOU.mp3];"/oβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Female says “Obrigada!”."
"Grazie mille!";"Muito obrigado!";[sound:ptBR_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu oβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Sì";"Sim";[sound:ptBR_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"No";"Não";[sound:ptBR_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/nah-oong~/";"";""
"Scusa";"Com licença";[sound:ptBR_POLITENESS_EXCUSE_ME.mp3];"/kõ liˈsẽsɐ/";"/koh lee-ˈsen-sa/";"Informal; polite: “Scusi”.";""
"Mi chiamo …";"Eu sou …";[sound:ptBR_INTRODUCTION_MY_NAME.mp3];"/ew sow/";"/eh-oo soh/";"";""
"Piacere!";"Prazer!";[sound:ptBR_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾaˈzeɾ/";"/pra-ˈzehr/";"";""
"Come ti chiami?";"Como você se chama?";[sound:ptBR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu voˈse si ˈʃɐmɐ/";"/ˈko-moo vo-ˈseh si ˈsha-ma/";"";""
"Non capisco.";"Não entendi.";[sound:ptBR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ ẽtẽˈdʒi/";"/nau en-ten-JEE/";"";""
"Parla inglese?";"Você fala inglês?";[sound:ptBR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/voˈse ˈfalɐ ĩˈɡlejs/";"/vo-ˈseh ˈfa-la ing-ˈglays?/";"";""
"Un po' più piano, per favore.";"Pode falar mais devagar, por favor?";[sound:ptBR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpɔdʒi faˈlaʁ majʒ dʒevaˈɡaʁ poʁ faˈvoʁ/";"/POH-jee fa-ˈlar mys je-va-ˈgar, por fa-ˈvor?/";"";""
"Il mio italiano non è granché.";"Meu português não é muito bom.";[sound:ptBR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mew poʁtuˈɡejs nɐ̃w̃ ɛ ˈmũjtu bõ/";"/meh-oo por-too-ˈgays nao eh ˈmwin-too bohng~/";"";""
"Come si dice … in italiano?";"Como se diz … em português?";[sound:ptBR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu si ˈdʒis ẽ poʁtuˈɡejs/";"/ˈko-moo see ˈjeez eng por-too-ˈgays?/";"";""
"Il menù, per favore.";"Cardápio, por favor.";[sound:ptBR_REQUEST_MENU.mp3];"/kaʁˈdapju poʁ faˈvoʁ/";"/kar-ˈda-pyu, por fa-ˈvor/";"";""
"Caffè";"Café";[sound:ptBR_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Acqua";"Água";[sound:ptBR_REQUEST_WATER.mp3];"/ˈaɡwa/";"/ˈa-gwa/";"";""
