Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ciao!";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"Buongiorno!";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"";""
"A dopo!";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"Prego!";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Reply to “grazie”.";"Casual “you’re welcome”."
"Grazie!";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"";""
"Grazie mille!";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"Sì";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"No";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"Scusa";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"Informal; polite: “Scusi”.";"Polite plural: “Më falni”."
"Mi chiamo …";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"Piacere!";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"";""
"Come ti chiami?";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"";"Polite: “Si quheni?”"
"Non capisco.";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
"Parla inglese?";"Flisni anglisht?";[sound:sqAL_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈflisni anˈɡliʃt/";"/ˈflees-nee ang-ˈlisht?/";"";""
"Un po' più piano, per favore.";"Më ngadalë, ju lutem.";[sound:sqAL_COMMUNICATION_SPEAK_SLOWER.mp3];"/mə ŋaˈdalə, ju ˈlutɛm/";"/mə nga-ˈda-lə, yoo ˈlu-tem/";"";""
"Il mio italiano non è granché.";"Nuk flas mirë shqip.";[sound:sqAL_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nuk flas ˈmiɾə ʃcip/";"/nuk flas ˈmee-rə shchip/";"";""
"Come si dice … in italiano?";"Si thuhet … në shqip?";[sound:sqAL_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/si ˈθuhɛt nə ʃcip/";"/see ˈthu-het nə shchip?/";"";""
"Il menù, per favore.";"Menyja, ju lutem.";[sound:sqAL_REQUEST_MENU.mp3];"/mɛˈnyja, ju ˈlutɛm/";"/me-ˈnyah, yoo ˈlu-tem/";"";""
"Caffè";"Kafe";[sound:sqAL_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Acqua";"Ujë";[sound:sqAL_REQUEST_WATER.mp3];"/ˈujə/";"/ˈoo-yə/";"";""
"per favore";"ju lutem";[sound:sqAL_REQUEST_PLEASE.mp3];"/ju ˈlutɛm/";"/yoo ˈlu-tem/";"";""
"Il conto, per favore.";"Llogarinë, ju lutem.";[sound:sqAL_REQUEST_BILL.mp3];"/lɔɡaˈɾinə, ju ˈlutɛm/";"/llo-ga-ˈree-nə, yoo ˈlu-tem/";"";""
"Sono vegetariano/a.";"Jam vegjetarian/e.";[sound:sqAL_DINING_VEGETARIAN.mp3];"/jam ved͡ʒetaˈɾian(e)/";"/yam ve-je-ta-ˈryan(-e)/";"“-a” for female.";"“-e” for female."
"Era buonissimo!";"Ishte shumë e shijshme!";[sound:sqAL_DINING_DELICIOUS.mp3];"/ˈiʃtɛ ʃum ə ˈʃijʃmə/";"/ˈish-te shoom ə ˈsheesh-mə/";"";""
"È davvero buono!";"Është shumë e mirë!";[sound:sqAL_DINING_YUMMY.mp3];"/ˈəʃtə ʃum ə ˈmirə/";"/ˈəsh-tə shoom ə ˈmee-rə/";"";""
"Dov’è la stazione?";"Ku është stacioni i trenit?";[sound:sqAL_NAVIGATION_TRAIN_STATION.mp3];"/ku ˈəʃtə staˈcjɔni i ˈtrɛnit/";"/koo ˈəsh-tə sta-ˈtsyoh-ni i ˈtre-nit/";"";""
"Dov’è il bagno?";"Ku është tualeti?";[sound:sqAL_NAVIGATION_RESTROOM.mp3];"/ku ˈəʃtə tuaˈlɛti/";"/koo ˈəsh-tə tua-ˈle-ti/";"";""
"Dov’è il bancomat?";"Ku ka bankomat?";[sound:sqAL_NAVIGATION_ATM.mp3];"/ku ka baŋkɔˈmat/";"/koo ka ban-ko-ˈmat/";"";""
"Quanto costa?";"Sa kushton kjo?";[sound:sqAL_SHOPPING_HOW_MUCH.mp3];"/sa kuʃˈtɔn cɔ/";"/sa kush-ˈton kyo?/";"";""
"Posso pagare con la carta?";"Mund të paguaj me kartë?";[sound:sqAL_SHOPPING_PAY_BY_CARD.mp3];"/mund tə paˈɡuaj mɛ ˈkaɾtə/";"/moond tə pa-ˈgoo-ai me ˈkar-tə?/";"";""
"Pago in contanti.";"Paguaj me para në dorë.";[sound:sqAL_SHOPPING_PAY_BY_CASH.mp3];"/paˈɡuaj mɛ paˈɾa nə dɔɾə/";"/pa-ˈgoo-ai me pa-ˈra nə ˈdo-rə/";"";""
"Aiuto!";"Ndihmë!";[sound:sqAL_EMERGENCY_HELP.mp3];"/ndi.hmə/";"/n-DEEH-mə/";"";""
"Ho bisogno di un medico!";"Më duhet një mjek!";[sound:sqAL_EMERGENCY_DOCTOR.mp3];"/mə ˈduhɛt ɲə mjɛk/";"/mə ˈdu-het nyə myek/";"";""
"Chiami la polizia!";"Thirrni policinë!";[sound:sqAL_EMERGENCY_POLICE.mp3];"/ˈθirni pɔliˈtsin/";"/THIR-ni po-li-ˈtseen/";"";""
"uno";"një";[sound:sqAL_NUMBER_ONE.mp3];"/ɲə/";"/nyə/";"";""
"due";"dy";[sound:sqAL_NUMBER_TWO.mp3];"/dy/";"/dy/";"";""
"tre";"tre";[sound:sqAL_NUMBER_THREE.mp3];"/trɛ/";"/treh/";"";""
"quattro";"katër";[sound:sqAL_NUMBER_FOUR.mp3];"/ˈkatər/";"/ˈka-tər/";"";""
"cinque";"pesë";[sound:sqAL_NUMBER_FIVE.mp3];"/ˈpɛsə/";"/ˈpe-sə/";"";""
"sei";"gjashtë";[sound:sqAL_NUMBER_SIX.mp3];"/ɟaʃt/";"/gyasht/";"";""
"sette";"shtatë";[sound:sqAL_NUMBER_SEVEN.mp3];"/ʃtatə/";"/shta-tə/";"";""
"otto";"tetë";[sound:sqAL_NUMBER_EIGHT.mp3];"/ˈtɛtə/";"/ˈte-tə/";"";""
"nove";"nëntë";[sound:sqAL_NUMBER_NINE.mp3];"/ˈnən.tə/";"/ˈnən-tə/";"";""
"dieci";"dhjetë";[sound:sqAL_NUMBER_TEN.mp3];"/ˈðjɛ.tə/";"/ˈth-ye-tə/";"";""
