Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Hi!";[sound:enUS_GREETING_HELLO.mp3];"/haɪ/";"/hai/";"";""
"こんにちは！";"Hello!";[sound:enUS_GREETING_GOOD_DAY.mp3];"/həˈloʊ/";"/huh-ˈloh/";"";""
"じゃあね！";"Bye!";[sound:enUS_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"いえいえ";"No problem!";[sound:enUS_POLITENESS_PLEASE.mp3];"/noʊ ˈprɑbləm/";"/noh ˈprah-bləm/";"Casual “you’re welcome”. Polite: どういたしまして。";"Reply to “thanks” (= “you’re welcome”)."
"ありがとう！";"Thanks!";[sound:enUS_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"どうもありがとう！";"Thanks so much!";[sound:enUS_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks soʊ ˈmʌtʃ/";"/thanks soh ˈmuhch/";"";""
"はい";"Yes";[sound:enUS_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"いいえ";"No";[sound:enUS_CONFIRMATION_NO.mp3];"/noʊ/";"/noh/";"";""
"すみません";"Excuse me";[sound:enUS_POLITENESS_EXCUSE_ME.mp3];"/ɪkˈskjuz mi/";"/ik-ˈskyooz mee/";"";""
"…です。";"I'm …";[sound:enUS_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"はじめまして！";"Nice to meet you!";[sound:enUS_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmit ju/";"/nais tə ˈmeet yoo/";"";""
"お名前は？";"What's your name?";[sound:enUS_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wʌts jɚ ˈneɪm/";"/wuts yer ˈnaim/";"";""
"わかりません。";"I don't get it.";[sound:enUS_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ doʊnt ˈɡɛt ɪt/";"/ai dont GET it/";"";""
"英語、話せますか？";"Do you speak English?";[sound:enUS_COMMUNICATION_SPEAK_ENGLISH.mp3];"/du ju spik ˈɪŋɡlɪʃ/";"/doo yoo speek ˈing-glish/";"";""
"もう少しゆっくりお願いします。";"Could you speak a little slower, please?";[sound:enUS_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd ju spik ə ˈlɪtəl ˈsloʊɚ, pliz/";"/kud yoo speek ə ˈli-təl ˈsloh-er, pleez/";"";""
"日本語はあまり上手じゃないです。";"My English isn't great.";[sound:enUS_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪzənt ɡreɪt/";"/mai ˈing-glish ˈiz-ənt grate/";"";""
"…は日本語で何と言いますか？";"How do you say … in English?";[sound:enUS_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ də ju seɪ ɪn ˈɪŋɡlɪʃ/";"/how də yoo say in ˈing-glish/";"";""
"メニューお願いします。";"Menu, please.";[sound:enUS_REQUEST_MENU.mp3];"/ˈmɛnju pliz/";"/MEN-yoo pleez/";"";""
"コーヒー";"Coffee";[sound:enUS_REQUEST_COFFEE.mp3];"/ˈkɔfi/";"/ˈkaw-fee/";"";""
