Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"こんにちは！";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"";"Saludo coloquial válido todo el día."
"じゃあね！";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"いえいえ";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Casual “you’re welcome”. Polite: どういたしまして。";"Respuesta a “gracias” (= “con gusto”)."
"ありがとう！";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"どうもありがとう！";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"はい";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"いいえ";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"すみません";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"…です。";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"はじめまして！";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"お名前は？";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"";""
"わかりません。";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"英語、話せますか？";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"もう少しゆっくりお願いします。";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"日本語はあまり上手じゃないです。";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"…は日本語で何と言いますか？";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"メニューお願いします。";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"コーヒー";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"お水";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
