Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Salut !";[sound:frFR_GREETING_HELLO.mp3];"/saly/";"/sa-ly/";"";""
"こんにちは！";"Bonjour !";[sound:frFR_GREETING_GOOD_DAY.mp3];"/bɔ̃ʒuʁ/";"/bon-ˈʒur/";"";"Usable all daytime."
"じゃあね！";"À plus !";[sound:frFR_FAREWELL_BYE.mp3];"/a ply/";"/a plu/";"";""
"いえいえ";"De rien !";[sound:frFR_POLITENESS_PLEASE.mp3];"/də ʁjɛ̃/";"/də ryehn/";"Casual “you’re welcome”. Polite: どういたしまして。";"Reply to “merci”."
"ありがとう！";"Merci !";[sound:frFR_POLITENESS_THANK_YOU.mp3];"/mɛʁsi/";"/mer-see/";"";""
"どうもありがとう！";"Merci beaucoup !";[sound:frFR_POLITENESS_MANY_THANKS.mp3];"/mɛʁsi boˈku/";"/mer-see bo-ˈkoo/";"";""
"はい";"Oui";[sound:frFR_CONFIRMATION_YES.mp3];"/wi/";"/wee/";"";""
"いいえ";"Non";[sound:frFR_CONFIRMATION_NO.mp3];"/nɔ̃/";"/noh~/";"";""
"すみません";"Pardon";[sound:frFR_POLITENESS_EXCUSE_ME.mp3];"/paʁdɔ̃/";"/par-don~/";"";""
"…です。";"Je m’appelle …";[sound:frFR_INTRODUCTION_MY_NAME.mp3];"/ʒə mapɛl/";"/zhə ma-pel/";"";""
"はじめまして！";"Enchanté(e) !";[sound:frFR_INTRODUCTION_NICE_TO_MEET.mp3];"/ɑ̃ʃɑ̃te/";"/on-shon-ˈteh/";"";"Add (e) if you’re female."
"お名前は？";"Tu t’appelles comment ?";[sound:frFR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ty tapɛl kɔmɑ̃/";"/tu ta-pel ko-mon~/";"";""
"わかりません。";"Je comprends pas.";[sound:frFR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ʒə kɔ̃pʁɑ̃ pa/";"/zhə kon~-pran~ pa/";"";""
"英語、話せますか？";"Vous parlez anglais ?";[sound:frFR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/vu paʁle ɑ̃ɡlɛ/";"/voo par-lay on-glay?/";"";""
"もう少しゆっくりお願いします。";"Plus lentement, s’il vous plaît.";[sound:frFR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ply lɑ̃tmɑ̃ sil vu plɛ/";"/plü lon~-tmon~ seel voo pleh/";"";""
"日本語はあまり上手じゃないです。";"Je parle pas très bien français.";[sound:frFR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ʒə paʁl pa tʁɛ bjɛ̃ fʁɑ̃sɛ/";"/zhə parl pa tre byehn fron-seh/";"";""
"…は日本語で何と言いますか？";"Comment on dit … en français ?";[sound:frFR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/kɔmɑ̃ ɔ̃ di ɑ̃ fʁɑ̃sɛ/";"/ko-mon~ on dee on fron-seh?/";"";""
"メニューお願いします。";"La carte, s’il vous plaît.";[sound:frFR_REQUEST_MENU.mp3];"/la kaʁt sil vu plɛ/";"/la kart seel voo pleh/";"";""
"コーヒー";"Café";[sound:frFR_REQUEST_COFFEE.mp3];"/kafe/";"/ka-feh/";"";""
"お水";"Eau";[sound:frFR_REQUEST_WATER.mp3];"/o/";"/oh/";"";""
