Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"こんにちは！";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"";""
"じゃあね！";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"いえいえ";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"Casual “you’re welcome”. Polite: どういたしまして。";"Reply to “grazie”."
"ありがとう！";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"";""
"どうもありがとう！";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"はい";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"いいえ";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"すみません";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"";"Informal; polite: “Scusi”."
"…です。";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"はじめまして！";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"";""
"お名前は？";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"";""
"わかりません。";"Non capisco.";[sound:itIT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/non kaˈpisko/";"/non ka-ˈpees-ko/";"";""
"英語、話せますか？";"Parla inglese?";[sound:itIT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈparla iŋˈɡleze/";"/ˈpar-la ing-ˈle-ze/";"";""
"もう少しゆっくりお願いします。";"Un po' più piano, per favore.";[sound:itIT_COMMUNICATION_SPEAK_SLOWER.mp3];"/um pɔ pjʊ ˈpjano per faˈvoːre/";"/oon po pyoo ˈpya-no, per fa-ˈvo-re/";"";""
"日本語はあまり上手じゃないです。";"Il mio italiano non è granché.";[sound:itIT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/il ˈmi.o italiˈaːno non ɛ ɡraŋˈke/";"/il ˈmee-o ee-ta-lya-no non eh gran-ˈkeh/";"";""
"…は日本語で何と言いますか？";"Come si dice … in italiano?";[sound:itIT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkome si ˈdit͡ʃe in italiˈaːno/";"/ˈko-me see ˈdee-che in ee-ta-lya-no/";"";""
"メニューお願いします。";"Il menù, per favore.";[sound:itIT_REQUEST_MENU.mp3];"/il meˈnu per faˈvoːre/";"/eel me-ˈnu, per fa-ˈvo-re/";"";""
