Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Olá!";[sound:ptPT_GREETING_HELLO.mp3];"/oˈla/";"/o-ˈla/";"";""
"こんにちは！";"Tudo bem?";[sound:ptPT_GREETING_GOOD_DAY.mp3];"/ˈtudu ˈbẽj̃/";"/ˈtoo-doo bayng~?/";"";"Pergunta informal que serve como cumprimento todo o dia."
"じゃあね！";"Até logo!";[sound:ptPT_FAREWELL_BYE.mp3];"/ɐˈtɛ ˈlɔɣu/";"/a-ˈte ˈlo-gu/";"";""
"いえいえ";"De nada!";[sound:ptPT_POLITENESS_PLEASE.mp3];"/dɨ ˈnaðɐ/";"/dih ˈna-da/";"Casual “you’re welcome”. Polite: どういたしまして。";"Resposta a “obrigado/obrigada”."
"ありがとう！";"Obrigado!";[sound:ptPT_POLITENESS_THANK_YOU.mp3];"/ɔβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Mulher diz “Obrigada!”."
"どうもありがとう！";"Muito obrigado!";[sound:ptPT_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu ɔβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"はい";"Sim";[sound:ptPT_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"いいえ";"Não";[sound:ptPT_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/na-ong~/";"";""
"すみません";"Desculpe";[sound:ptPT_POLITENESS_EXCUSE_ME.mp3];"/dɨʃˈkuɫpɨ/";"/desh-ˈkool-pə/";"";""
"…です。";"Chamo-me …";[sound:ptPT_INTRODUCTION_MY_NAME.mp3];"/ˈʃɐmumɨ/";"/ˈsha-moo-mə/";"";""
"はじめまして！";"Prazer!";[sound:ptPT_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾɐˈzeɾ/";"/pra-ˈzehr/";"";""
"お名前は？";"Como te chamas?";[sound:ptPT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu tɨ ˈʃɐmɐʃ/";"/ˈko-mu tə ˈsha-mash/";"";"Cortês: «Como se chama?»"
"わかりません。";"Não percebo.";[sound:ptPT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ pɨɾˈsebu/";"/na-ong~ pər-ˈseh-boo/";"";""
"英語、話せますか？";"Fala inglês?";[sound:ptPT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈfalɐ ĩˈɡleʃ/";"/ˈfa-la ing-ˈlesh?/";"";""
"もう少しゆっくりお願いします。";"Mais devagar, se faz favor.";[sound:ptPT_COMMUNICATION_SPEAK_SLOWER.mp3];"/majʒ ðɨvɐˈɣaɾ, sɨ faʃ fɐˈvoɾ/";"/maizh də-va-ˈgar, si fash fa-ˈvor/";"";""
"日本語はあまり上手じゃないです。";"O meu português não é muito bom.";[sound:ptPT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/u mew puɾtuˈɡeʃ nɐ̃w̃ ɛ ˈmũjtu bõ/";"/oo meh-oo por-too-ˈgesh nao eh ˈmwin-too bohng~/";"";""
"…は日本語で何と言いますか？";"Como se diz … em português?";[sound:ptPT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomu sɨ ˈdiʃ ẽ puɾtuˈɡeʃ/";"/ˈko-mu sə ˈdeesh eng por-too-ˈgesh?/";"";""
"メニューお願いします。";"A ementa, se faz favor.";[sound:ptPT_REQUEST_MENU.mp3];"/ɐ iˈmẽtɐ, sɨ faʃ fɐˈvoɾ/";"/a i-ˈmen-ta, si fash fa-ˈvor/";"";""
"コーヒー";"Café";[sound:ptPT_REQUEST_COFFEE.mp3];"/kɐˈfɛ/";"/ka-ˈfeh/";"";""
"お水";"Água";[sound:ptPT_REQUEST_WATER.mp3];"/ˈaɣwɐ/";"/ˈa-gwa/";"";""
"お願いします";"se faz favor";[sound:ptPT_REQUEST_PLEASE.mp3];"/sɨ faʃ fɐˈvoɾ/";"/si fash fa-ˈvor/";"";""
"お会計お願いします。";"A conta, se faz favor.";[sound:ptPT_REQUEST_BILL.mp3];"/ɐ ˈkõtɐ, sɨ faʃ fɐˈvoɾ/";"/a ˈkon-ta, si fash fa-ˈvor/";"";""
"ベジタリアンです。";"Sou vegetariano/a.";[sound:ptPT_DINING_VEGETARIAN.mp3];"/so(w) vɨʒɨtɐɾiˈɐnu(a)/";"/so ve-zhe-ta-ree-ˈa-no(-a)/";"";"“-a” para feminino."
"すごくおいしかった！";"Estava delicioso!";[sound:ptPT_DINING_DELICIOUS.mp3];"/(ɨ)ʃˈtavɐ dɨliˈsjozu/";"/sh-ˈta-va dɨ-lee-ˈsyo-zu/";"";""
"めっちゃおいしい！";"Está mesmo bom!";[sound:ptPT_DINING_YUMMY.mp3];"/(ɨ)ʃˈta ˈmeʒmu bõ/";"/sh-ˈta ˈmezh-moo bohng~/";"Casual emphasis; very common.";""
"駅はどこですか？";"Onde fica a estação?";[sound:ptPT_NAVIGATION_TRAIN_STATION.mp3];"/ˈõdɨ ˈfikɐ ɐ (ɨ)ʃtɐˈsɐ̃w̃/";"/ON-dih FEE-ka a sh-ta-ˈsown~/";"";""
"トイレはどこですか？";"Onde fica a casa de banho?";[sound:ptPT_NAVIGATION_RESTROOM.mp3];"/ˈõdɨ ˈfikɐ ɐ ˈkazɐ ðɨ ˈbɐɲu/";"/ON-dih FEE-ka a ˈka-za dɨ ˈba-nyu/";"";""
"ATMはどこですか？";"Onde há multibanco?";[sound:ptPT_NAVIGATION_ATM.mp3];"/ˈõdɨ a muliˈtibɐ̃ku/";"/ON-dih a mul-ee-ˈtee-ban-ku/";"";""
"これ、いくらですか？";"Quanto é?";[sound:ptPT_SHOPPING_HOW_MUCH.mp3];"/ˈkwɐ̃tu ɛ/";"/ˈkwan-too eh?/";"";""
"カードで払えますか？";"Posso pagar com cartão?";[sound:ptPT_SHOPPING_PAY_BY_CARD.mp3];"/ˈpɔsu pɐˈɡaɾ kõ kɐɾˈtɐ̃w̃/";"/ˈpo-su pa-ˈgar kong kar-ˈtawn~?/";"";""
"現金で払います。";"Pago em dinheiro.";[sound:ptPT_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɡu ẽ dɨˈɲejɾu/";"/ˈpa-go eng dɨ-ˈnye-ru/";"";""
"助けて！";"Socorro!";[sound:ptPT_EMERGENCY_HELP.mp3];"/suˈkoʁu/";"/su-ˈko-hru/";"";""
"お医者さんお願いします！";"Preciso de um médico!";[sound:ptPT_EMERGENCY_DOCTOR.mp3];"/pɾɨˈsiz(u) ð(ɨ) ũ ˈmɛðiku/";"/prɨ-ˈsi-zu d(ɨ) oon ˈme-dee-ku/";"";""
"警察を呼んでください！";"Chame a polícia!";[sound:ptPT_EMERGENCY_POLICE.mp3];"/ˈʃɐmɨ ɐ puˈlisjɐ/";"/SHA-mi a po-ˈlee-sya/";"";""
"いち";"um";[sound:ptPT_NUMBER_ONE.mp3];"/ũ/";"/oong~/";"";""
"に";"dois";[sound:ptPT_NUMBER_TWO.mp3];"/ˈdojʃ/";"/ˈdoysh/";"";""
"さん";"três";[sound:ptPT_NUMBER_THREE.mp3];"/tɾeʃ/";"/trehsh/";"";""
"よん";"quatro";[sound:ptPT_NUMBER_FOUR.mp3];"/ˈkwatɾu/";"/ˈkwa-tru/";"";""
"ご";"cinco";[sound:ptPT_NUMBER_FIVE.mp3];"/ˈsĩku/";"/ˈseen-ku/";"";""
"ろく";"seis";[sound:ptPT_NUMBER_SIX.mp3];"/sejʃ/";"/saysh/";"";""
"なな";"sete";[sound:ptPT_NUMBER_SEVEN.mp3];"/ˈsɛt(ɨ)/";"/ˈseh-t(uh)/";"";""
"はち";"oito";[sound:ptPT_NUMBER_EIGHT.mp3];"/ˈojtu/";"/ˈoy-tu/";"";""
"きゅう";"nove";[sound:ptPT_NUMBER_NINE.mp3];"/ˈnɔv(ɨ)/";"/ˈno-v(uh)/";"";""
"じゅう";"dez";[sound:ptPT_NUMBER_TEN.mp3];"/dɛʃ/";"/desh/";"";""
