Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"こんにちは！";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"";""
"じゃあね！";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"いえいえ";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Casual “you’re welcome”. Polite: どういたしまして。";"Casual “you’re welcome”."
"ありがとう！";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"";""
"どうもありがとう！";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"はい";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"いいえ";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"すみません";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"";"Polite plural: “Më falni”."
"…です。";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"はじめまして！";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"";""
"お名前は？";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"";"Polite: “Si quheni?”"
"わかりません。";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
