Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"どうも！";"Merhaba!";[sound:trTR_GREETING_HELLO.mp3];"/ˈmɛɾhaba/";"/ˈmer-ha-ba/";"";""
"こんにちは！";"Selam!";[sound:trTR_GREETING_GOOD_DAY.mp3];"/seˈlam/";"/se-ˈlam/";"";"Gün boyu kullanılabilir, samimi selam."
"じゃあね！";"Görüşürüz!";[sound:trTR_FAREWELL_BYE.mp3];"/ɟøɾyˈʃyɾyz/";"/gyo-ryu-ˈshu-ryuz/";"";""
"いえいえ";"Rica ederim";[sound:trTR_POLITENESS_PLEASE.mp3];"/ɾiˈd͡ʒa edeˈɾim/";"/ri-ˈja e-de-ˈrim/";"Casual “you’re welcome”. Polite: どういたしまして。";"Teşekküre cevap (= “bir şey değil”)."
"ありがとう！";"Teşekkürler!";[sound:trTR_POLITENESS_THANK_YOU.mp3];"/teʃekyɾˈlɛɾ/";"/te-she-kyur-ˈler/";"";""
"どうもありがとう！";"Çok teşekkürler!";[sound:trTR_POLITENESS_MANY_THANKS.mp3];"/t͡ʃok teʃekyɾˈlɛɾ/";"/chok te-she-kyur-ˈler/";"";""
"はい";"Evet";[sound:trTR_CONFIRMATION_YES.mp3];"/eˈvet/";"/e-ˈvet/";"";""
"いいえ";"Hayır";[sound:trTR_CONFIRMATION_NO.mp3];"/ˈhajɯɾ/";"/ˈha-yur/";"";""
"すみません";"Pardon";[sound:trTR_POLITENESS_EXCUSE_ME.mp3];"/ˈpaɾdon/";"/ˈpar-don/";"";""
"…です。";"Ben …";[sound:trTR_INTRODUCTION_MY_NAME.mp3];"/bɛn/";"/ben/";"";""
"はじめまして！";"Memnun oldum!";[sound:trTR_INTRODUCTION_NICE_TO_MEET.mp3];"/mɛmˈnun ˈoldum/";"/mem-ˈnoon ˈol-dum/";"";""
"お名前は？";"Adın ne?";[sound:trTR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/aˈdɯn ne/";"/a-ˈdun ne/";"";"Nazik: “Adınız ne?”"
"わかりません。";"Anlamadım.";[sound:trTR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/anlaˈmadɯm/";"/an-la-ˈma-dum/";"";""
"英語、話せますか？";"İngilizce biliyor musunuz?";[sound:trTR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/iŋɡiˈlizd͡ʒe biˈliːjoɾ musuˈnuz/";"/ing-gee-ˈliz-je bi-ˈlee-yor mu-su-ˈnuz/";"";""
"もう少しゆっくりお願いします。";"Biraz daha yavaş konuşur musunuz, lütfen?";[sound:trTR_COMMUNICATION_SPEAK_SLOWER.mp3];"/biˈɾaz daˈha jaˈvaʃ koˈnuʃuɾ musuˈnuz ˈlytfen/";"/bi-ˈraz da-ˈha ya-ˈvash ko-ˈnu-shur mu-su-ˈnuz ˈlyt-fen/";"";""
"日本語はあまり上手じゃないです。";"Türkçem çok iyi değil.";[sound:trTR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ˈtyɾkt͡ʃɛm t͡ʃok iˈji deˈjil/";"/ˈtyurk-chem chok ee-yee de-ˈyil/";"";""
"…は日本語で何と言いますか？";"… Türkçe nasıl denir?";[sound:trTR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/tyɾkt͡ʃe nɯˈsɯl deˈniɾ/";"/tyurk-che na-ˈsul de-ˈnir/";"";""
"メニューお願いします。";"Menü lütfen.";[sound:trTR_REQUEST_MENU.mp3];"/ˈmɛnʏ ˈlytfen/";"/ˈme-ny ˈlyt-fen/";"";""
"コーヒー";"Kahve";[sound:trTR_REQUEST_COFFEE.mp3];"/ˈkahve/";"/ˈkah-ve/";"";""
"お水";"Su";[sound:trTR_REQUEST_WATER.mp3];"/su/";"/su/";"";""
"お願いします";"lütfen";[sound:trTR_REQUEST_PLEASE.mp3];"/ˈlytfen/";"/ˈlyt-fen/";"";""
"お会計お願いします。";"Hesap lütfen.";[sound:trTR_REQUEST_BILL.mp3];"/heˈsap ˈlytfen/";"/he-ˈsap ˈlyt-fen/";"";""
