Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Oi!";"Hiya!";[sound:enGB_GREETING_HELLO.mp3];"/ˈhaɪjə/";"/ˈhai-yə/";"";""
"Olá!";"Hello!";[sound:enGB_GREETING_GOOD_DAY.mp3];"/həˈləʊ/";"/hə-ˈloh/";"";"Neutral greeting you can use all day."
"Tchau!";"Bye!";[sound:enGB_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"Imagina!";"No worries!";[sound:enGB_POLITENESS_PLEASE.mp3];"/nəʊ ˈwʌriz/";"/noh ˈwuh-reez/";"Very common reply to “obrigado(a)”. Also “De nada!”.";"As a reply to “thanks” (= “you’re welcome”)."
"Obrigado!";"Thanks!";[sound:enGB_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"Female says “Obrigada!”.";""
"Muito obrigado!";"Thanks a lot!";[sound:enGB_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks ə ˈlɒt/";"/thanks ə ˈlot/";"";""
"Sim";"Yes";[sound:enGB_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Não";"No";[sound:enGB_CONFIRMATION_NO.mp3];"/nəʊ/";"/noh/";"";""
"Com licença";"Sorry";[sound:enGB_POLITENESS_EXCUSE_ME.mp3];"/ˈsɒri/";"/ˈso-ree/";"";"Most common way to get someone’s attention in England."
"Eu sou …";"I'm …";[sound:enGB_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Prazer!";"Nice to meet you!";[sound:enGB_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmiːt juː/";"/nais tə ˈmeet yoo/";"";""
"Como você se chama?";"What's your name?";[sound:enGB_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wɒts jɔː ˈneɪm/";"/wots yaw ˈnaim/";"";""
"Não entendi.";"I don't get it.";[sound:enGB_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ dəʊnt ɡet ɪt/";"/ai dont get it/";"";""
"Você fala inglês?";"Do you speak English?";[sound:enGB_COMMUNICATION_SPEAK_ENGLISH.mp3];"/dʊ juː spiːk ˈɪŋɡlɪʃ/";"/du yoo speek ˈing-glish/";"";""
"Pode falar mais devagar, por favor?";"Could you speak a bit slower, please?";[sound:enGB_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd juː spiːk ə bɪt ˈsləʊə, pliːz/";"/kud yoo speek ə bit ˈsloh-ə, pleez/";"";""
"Meu português não é muito bom.";"My English isn't great.";[sound:enGB_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪz(ə)nt ɡreɪt/";"/mai ˈing-glish ˈiz-nt grate/";"";""
"Como se diz … em português?";"How do you say … in English?";[sound:enGB_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ dʊ juː seɪ ɪn ˈɪŋɡlɪʃ/";"/hau du yoo say … in ˈing-glish/";"";""
"Cardápio, por favor.";"Menu, please.";[sound:enGB_REQUEST_MENU.mp3];"/ˈmɛnjuː pliːz/";"/ˈmen-yoo pleez/";"";""
"Café";"Coffee";[sound:enGB_REQUEST_COFFEE.mp3];"/ˈkɒfi/";"/ˈko-fi/";"";""
"Água";"Water";[sound:enGB_REQUEST_WATER.mp3];"/ˈwɔːtə/";"/ˈwaw-tə/";"";""
"por favor";"please";[sound:enGB_REQUEST_PLEASE.mp3];"/pliːz/";"/pleez/";"";"Used when asking for things."
"A conta, por favor.";"Could we get the bill, please?";[sound:enGB_REQUEST_BILL.mp3];"/kʊd wi ɡɛt ðə bɪl, pliːz/";"/kud wee get thuh bil, pleez/";"";""
"Sou vegetariano/a.";"I'm vegetarian.";[sound:enGB_DINING_VEGETARIAN.mp3];"/aɪm ˌvɛdʒɪˈteəriən/";"/aim vej-i-ˈteh-ree-ən/";"“-a” for female.";""
"Tava uma delícia!";"That was delicious!";[sound:enGB_DINING_DELICIOUS.mp3];"/ðæt wɒz dɪˈlɪʃəs/";"/that woz di-ˈli-shəs/";"";""
"Tá muito bom!";"This is really tasty!";[sound:enGB_DINING_YUMMY.mp3];"/ðɪs ɪz ˈrɪəli ˈteɪsti/";"/this iz ˈre-ə-lee ˈtay-stee/";"";""
"Onde fica a estação?";"Where's the train station?";[sound:enGB_NAVIGATION_TRAIN_STATION.mp3];"/weəz ðə treɪn ˈsteɪʃən/";"/wairz thuh trayn ˈstay-shən/";"";""
"Onde fica o banheiro?";"Where's the toilet?";[sound:enGB_NAVIGATION_RESTROOM.mp3];"/weəz ðə ˈtɔɪlət/";"/wairz thuh ˈtoy-lət/";"";"“Toilet” is the usual word in the UK; “loo” is very informal."
"Onde tem caixa eletrônico?";"Where's the nearest cash machine?";[sound:enGB_NAVIGATION_ATM.mp3];"/weəz ðə ˈnɪərəst kæʃ məˈʃiːn/";"/wairz thuh ˈneer-əst kash mə-ˈsheen/";"";"UK says “cash machine” more than “ATM”."
"Quanto é?";"How much is this?";[sound:enGB_SHOPPING_HOW_MUCH.mp3];"/haʊ mʌtʃ ɪz ðɪs/";"/how much iz this/";"";""
"Posso pagar com cartão?";"Can I pay by card?";[sound:enGB_SHOPPING_PAY_BY_CARD.mp3];"/kæn aɪ peɪ baɪ kɑːd/";"/kan ai pay bai kaard/";"";""
"Pago em dinheiro.";"I'll pay in cash.";[sound:enGB_SHOPPING_PAY_BY_CASH.mp3];"/aɪl peɪ ɪn kæʃ/";"/ail pay in kash/";"";""
"Socorro!";"Help!";[sound:enGB_EMERGENCY_HELP.mp3];"/hɛlp/";"/help/";"";""
"Preciso de um médico!";"I need a doctor!";[sound:enGB_EMERGENCY_DOCTOR.mp3];"/aɪ niːd ə ˈdɒktə/";"/ai need uh ˈdok-tuh/";"";""
