Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Olá!";"Hiya!";[sound:enGB_GREETING_HELLO.mp3];"/ˈhaɪjə/";"/ˈhai-yə/";"";""
"Tudo bem?";"Hello!";[sound:enGB_GREETING_GOOD_DAY.mp3];"/həˈləʊ/";"/hə-ˈloh/";"Pergunta informal que serve como cumprimento todo o dia.";"Neutral greeting you can use all day."
"Até logo!";"Bye!";[sound:enGB_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"De nada!";"No worries!";[sound:enGB_POLITENESS_PLEASE.mp3];"/nəʊ ˈwʌriz/";"/noh ˈwuh-reez/";"Resposta a “obrigado/obrigada”.";"As a reply to “thanks” (= “you’re welcome”)."
"Obrigado!";"Thanks!";[sound:enGB_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"Mulher diz “Obrigada!”.";""
"Muito obrigado!";"Thanks a lot!";[sound:enGB_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks ə ˈlɒt/";"/thanks ə ˈlot/";"";""
"Sim";"Yes";[sound:enGB_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Não";"No";[sound:enGB_CONFIRMATION_NO.mp3];"/nəʊ/";"/noh/";"";""
"Desculpe";"Sorry";[sound:enGB_POLITENESS_EXCUSE_ME.mp3];"/ˈsɒri/";"/ˈso-ree/";"";"Most common way to get someone’s attention in England."
"Chamo-me …";"I'm …";[sound:enGB_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Prazer!";"Nice to meet you!";[sound:enGB_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmiːt juː/";"/nais tə ˈmeet yoo/";"";""
"Como te chamas?";"What's your name?";[sound:enGB_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wɒts jɔː ˈneɪm/";"/wots yaw ˈnaim/";"Cortês: «Como se chama?»";""
"Não percebo.";"I don't get it.";[sound:enGB_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ dəʊnt ɡet ɪt/";"/ai dont get it/";"";""
"Fala inglês?";"Do you speak English?";[sound:enGB_COMMUNICATION_SPEAK_ENGLISH.mp3];"/dʊ juː spiːk ˈɪŋɡlɪʃ/";"/du yoo speek ˈing-glish/";"";""
"Mais devagar, se faz favor.";"Could you speak a bit slower, please?";[sound:enGB_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd juː spiːk ə bɪt ˈsləʊə, pliːz/";"/kud yoo speek ə bit ˈsloh-ə, pleez/";"";""
"O meu português não é muito bom.";"My English isn't great.";[sound:enGB_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/maɪ ˈɪŋɡlɪʃ ˈɪz(ə)nt ɡreɪt/";"/mai ˈing-glish ˈiz-nt grate/";"";""
"Como se diz … em português?";"How do you say … in English?";[sound:enGB_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/haʊ dʊ juː seɪ ɪn ˈɪŋɡlɪʃ/";"/hau du yoo say … in ˈing-glish/";"";""
"A ementa, se faz favor.";"Menu, please.";[sound:enGB_REQUEST_MENU.mp3];"/ˈmɛnjuː pliːz/";"/ˈmen-yoo pleez/";"";""
"Café";"Coffee";[sound:enGB_REQUEST_COFFEE.mp3];"/ˈkɒfi/";"/ˈko-fi/";"";""
"Água";"Water";[sound:enGB_REQUEST_WATER.mp3];"/ˈwɔːtə/";"/ˈwaw-tə/";"";""
"se faz favor";"please";[sound:enGB_REQUEST_PLEASE.mp3];"/pliːz/";"/pleez/";"";"Used when asking for things."
"A conta, se faz favor.";"Could we get the bill, please?";[sound:enGB_REQUEST_BILL.mp3];"/kʊd wi ɡɛt ðə bɪl, pliːz/";"/kud wee get thuh bil, pleez/";"";""
"Sou vegetariano/a.";"I'm vegetarian.";[sound:enGB_DINING_VEGETARIAN.mp3];"/aɪm ˌvɛdʒɪˈteəriən/";"/aim vej-i-ˈteh-ree-ən/";"“-a” para feminino.";""
