Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Olá!";"¡Hola!";[sound:esCO_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Tudo bem?";"¡Buenas!";[sound:esCO_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"Pergunta informal que serve como cumprimento todo o dia.";"Saludo coloquial que funciona todo el día."
"Até logo!";"¡Chao!";[sound:esCO_FAREWELL_BYE.mp3];"/ˈt͡ʃao/";"/ˈchao/";"";""
"De nada!";"Con gusto";[sound:esCO_POLITENESS_PLEASE.mp3];"/koŋ ˈɡusto/";"/kon ˈgus-to/";"Resposta a “obrigado/obrigada”.";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia."
"Obrigado!";"Gracias";[sound:esCO_POLITENESS_THANK_YOU.mp3];"/ˈɡɾasjas/";"/ˈgra-syas/";"Mulher diz “Obrigada!”.";""
"Muito obrigado!";"¡Mil gracias!";[sound:esCO_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾasjas/";"/mil ˈgra-syas/";"";""
"Sim";"Sí";[sound:esCO_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Não";"No";[sound:esCO_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Desculpe";"Perdón";[sound:esCO_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"";""
"Chamo-me …";"Me llamo …";[sound:esCO_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Prazer!";"¡Mucho gusto!";[sound:esCO_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈmut͡ʃo ˈɡusto/";"/ˈmu-cho ˈgus-to/";"";""
"Como te chamas?";"¿Cómo te llamas?";[sound:esCO_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Cortês: «Como se chama?»";"Formal: «¿Cómo se llama?»"
"Não percebo.";"No entiendo.";[sound:esCO_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Fala inglês?";"¿Habla inglés?";[sound:esCO_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβla iŋˈgles/";"/ˈa-bla ing-ˈgles/";"";""
"Mais devagar, se faz favor.";"¿Puede hablar un poquito más despacio, porfa?";[sound:esCO_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðe aβˈlaɾ un poˈkito mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-de ab-ˈlar un po-ˈkee-to mas des-ˈpa-syo ˈpor-fa/";"";""
"O meu português não é muito bom.";"Mi español no es muy bueno.";[sound:esCO_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Como se diz … em português?";"¿Cómo se dice … en español?";[sound:esCO_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈdise en espaˈɲol/";"/ˈko-mo se ˈdee-se en es-pa-ˈnyol/";"";""
"A ementa, se faz favor.";"La carta, porfa.";[sound:esCO_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Café";"Café";[sound:esCO_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";"En Colombia el café negro se pide también como «tinto»."
"Água";"Agua";[sound:esCO_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"se faz favor";"porfa";[sound:esCO_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"";"Coloquial de «por favor», muy usado."
"A conta, se faz favor.";"La cuenta, porfa.";[sound:esCO_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Sou vegetariano/a.";"Soy vegetariano/a.";[sound:esCO_DINING_VEGETARIAN.mp3];"/soj βeɣetaˈɾjano(a)/";"/soy ve-he-ta-ˈree-a-no(-a)/";"“-a” para feminino.";"«-a» para femenino."
"Estava delicioso!";"¡Estaba riquísimo!";[sound:esCO_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"Está mesmo bom!";"¡Está muy rico!";[sound:esCO_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
"Onde fica a estação?";"¿Dónde queda la estación?";[sound:esCO_NAVIGATION_TRAIN_STATION.mp3];"/ˈdonde ˈkeða la estaˈsjon/";"/ˈdon-de ˈke-da la es-ta-ˈsion/";"";""
"Onde fica a casa de banho?";"¿Dónde está el baño?";[sound:esCO_NAVIGATION_RESTROOM.mp3];"/ˈdonde esˈta el ˈbaɲo/";"/ˈdon-de es-ˈta el ˈba-nyo/";"";""
"Onde há multibanco?";"¿Dónde hay un cajero?";[sound:esCO_NAVIGATION_ATM.mp3];"/ˈdonde aj un kaˈxeɾo/";"/ˈdon-de ai un ka-ˈhe-ro/";"";""
"Quanto é?";"¿Cuánto vale esto?";[sound:esCO_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈβale ˈesto/";"/ˈkwan-to ˈba-le ˈes-to/";"";""
"Posso pagar com cartão?";"¿Puedo pagar con tarjeta?";[sound:esCO_SHOPPING_PAY_BY_CARD.mp3];"/ˈpweðo paˈɣaɾ kon taɾˈxeta/";"/ˈpwe-do pa-ˈgar kon tar-ˈhe-ta/";"";""
"Pago em dinheiro.";"Pago en efectivo.";[sound:esCO_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɣo en eˈfektiβo/";"/ˈpa-go en e-fek-ˈti-vo/";"";""
"Socorro!";"¡Ayuda!";[sound:esCO_EMERGENCY_HELP.mp3];"/aˈʝuða/";"/a-ˈyu-tha/";"";""
"Preciso de um médico!";"¡Necesito un médico!";[sound:esCO_EMERGENCY_DOCTOR.mp3];"/neseˈsito un ˈmeðiko/";"/ne-se-ˈsee-toon ˈme-di-ko/";"";""
"Chame a polícia!";"¡Llame a la policía!";[sound:esCO_EMERGENCY_POLICE.mp3];"/ˈʝame a la poliˈsia/";"/ˈya-me a la po-li-ˈsee-a/";"";""
"um";"uno";[sound:esCO_NUMBER_ONE.mp3];"/ˈuno/";"/ˈu-no/";"";""
"dois";"dos";[sound:esCO_NUMBER_TWO.mp3];"/dos/";"/dos/";"";""
"três";"tres";[sound:esCO_NUMBER_THREE.mp3];"/tɾes/";"/tres/";"";""
"quatro";"cuatro";[sound:esCO_NUMBER_FOUR.mp3];"/ˈkwatɾo/";"/ˈkwa-tro/";"";""
"cinco";"cinco";[sound:esCO_NUMBER_FIVE.mp3];"/ˈsiŋko/";"/ˈseen-ko/";"";""
"seis";"seis";[sound:esCO_NUMBER_SIX.mp3];"/sejs/";"/says/";"";""
"sete";"siete";[sound:esCO_NUMBER_SEVEN.mp3];"/ˈsjete/";"/ˈsye-te/";"";""
"oito";"ocho";[sound:esCO_NUMBER_EIGHT.mp3];"/ˈot͡ʃo/";"/ˈo-cho/";"";""
"nove";"nueve";[sound:esCO_NUMBER_NINE.mp3];"/ˈnweβe/";"/ˈnwe-be/";"";""
"dez";"diez";[sound:esCO_NUMBER_TEN.mp3];"/djes/";"/dyehs/";"";""
