Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Olá!";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"Tudo bem?";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"Pergunta informal que serve como cumprimento todo o dia.";""
"Até logo!";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"De nada!";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"Resposta a “obrigado/obrigada”.";"Reply to “grazie”."
"Obrigado!";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"Mulher diz “Obrigada!”.";""
"Muito obrigado!";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"Sim";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"Não";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"Desculpe";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"";"Informal; polite: “Scusi”."
"Chamo-me …";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"Prazer!";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"";""
"Como te chamas?";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"Cortês: «Como se chama?»";""
"Não percebo.";"Non capisco.";[sound:itIT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/non kaˈpisko/";"/non ka-ˈpees-ko/";"";""
"Fala inglês?";"Parla inglese?";[sound:itIT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈparla iŋˈɡleze/";"/ˈpar-la ing-ˈle-ze/";"";""
"Mais devagar, se faz favor.";"Un po' più piano, per favore.";[sound:itIT_COMMUNICATION_SPEAK_SLOWER.mp3];"/um pɔ pjʊ ˈpjano per faˈvoːre/";"/oon po pyoo ˈpya-no, per fa-ˈvo-re/";"";""
"O meu português não é muito bom.";"Il mio italiano non è granché.";[sound:itIT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/il ˈmi.o italiˈaːno non ɛ ɡraŋˈke/";"/il ˈmee-o ee-ta-lya-no non eh gran-ˈkeh/";"";""
"Como se diz … em português?";"Come si dice … in italiano?";[sound:itIT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkome si ˈdit͡ʃe in italiˈaːno/";"/ˈko-me see ˈdee-che in ee-ta-lya-no/";"";""
"A ementa, se faz favor.";"Il menù, per favore.";[sound:itIT_REQUEST_MENU.mp3];"/il meˈnu per faˈvoːre/";"/eel me-ˈnu, per fa-ˈvo-re/";"";""
"Café";"Caffè";[sound:itIT_REQUEST_COFFEE.mp3];"/kafˈfɛ/";"/kaf-ˈfeh/";"";""
"Água";"Acqua";[sound:itIT_REQUEST_WATER.mp3];"/ˈakkwa/";"/ˈak-qua/";"";""
"se faz favor";"per favore";[sound:itIT_REQUEST_PLEASE.mp3];"/per faˈvoːre/";"/per fa-ˈvo-re/";"";""
"A conta, se faz favor.";"Il conto, per favore.";[sound:itIT_REQUEST_BILL.mp3];"/il ˈkonto per faˈvoːre/";"/eel ˈkon-to, per fa-ˈvo-re/";"";""
"Sou vegetariano/a.";"Sono vegetariano/a.";[sound:itIT_DINING_VEGETARIAN.mp3];"/ˈsoːno ved͡ʒetaˈrjano(a)/";"/ˈso-no ve-je-ta-ˈrya-no(-a)/";"“-a” para feminino.";"“-a” for female."
"Estava delicioso!";"Era buonissimo!";[sound:itIT_DINING_DELICIOUS.mp3];"/ˈeːra bwoˈnisːimo/";"/ˈeh-ra bwo-ˈnee-see-mo/";"";""
"Está mesmo bom!";"È davvero buono!";[sound:itIT_DINING_YUMMY.mp3];"/ɛ davˈvɛro ˈbwɔno/";"/eh dav-ˈve-ro ˈbwo-no/";"";""
"Onde fica a estação?";"Dov’è la stazione?";[sound:itIT_NAVIGATION_TRAIN_STATION.mp3];"/doˈvɛ la statˈtsjoːne/";"/do-ˈveh la sta-ˈtsyo-ne/";"";""
"Onde fica a casa de banho?";"Dov’è il bagno?";[sound:itIT_NAVIGATION_RESTROOM.mp3];"/doˈvɛ il ˈbaɲɲo/";"/do-ˈveh il ˈban-nyo/";"";""
"Onde há multibanco?";"Dov’è il bancomat?";[sound:itIT_NAVIGATION_ATM.mp3];"/doˈvɛ il ˈbaŋkomat/";"/do-ˈveh il ˈban-ko-mat/";"";""
"Quanto é?";"Quanto costa?";[sound:itIT_SHOPPING_HOW_MUCH.mp3];"/ˈkwanto ˈkɔsta/";"/ˈkwan-to ˈkos-ta/";"";""
"Posso pagar com cartão?";"Posso pagare con la carta?";[sound:itIT_SHOPPING_PAY_BY_CARD.mp3];"/ˈposso paˈɡaːre kon la ˈkarta/";"/ˈpos-so pa-ˈga-re kon la ˈkar-ta/";"";""
"Pago em dinheiro.";"Pago in contanti.";[sound:itIT_SHOPPING_PAY_BY_CASH.mp3];"/ˈpaɡo in konˈtanti/";"/ˈpa-go in kon-ˈtan-tee/";"";""
"Socorro!";"Aiuto!";[sound:itIT_EMERGENCY_HELP.mp3];"/aiˈuːto/";"/ai-ˈyoo-to/";"";""
"Preciso de um médico!";"Ho bisogno di un medico!";[sound:itIT_EMERGENCY_DOCTOR.mp3];"/o biˈzoɲɲo di un ˈmɛdiko/";"/o bee-ˈzohn-nyo dee oon ˈme-dee-ko/";"";""
"Chame a polícia!";"Chiami la polizia!";[sound:itIT_EMERGENCY_POLICE.mp3];"/ˈkjaːmi la poliˈt͡sia/";"/ˈkya-mee la po-li-ˈtsee-a/";"";""
"um";"uno";[sound:itIT_NUMBER_ONE.mp3];"/ˈuːno/";"/ˈoo-no/";"";""
"dois";"due";[sound:itIT_NUMBER_TWO.mp3];"/ˈduːe/";"/ˈdoo-eh/";"";""
"três";"tre";[sound:itIT_NUMBER_THREE.mp3];"/tre/";"/treh/";"";""
"quatro";"quattro";[sound:itIT_NUMBER_FOUR.mp3];"/ˈkwattro/";"/ˈkwa-tro/";"";""
"cinco";"cinque";[sound:itIT_NUMBER_FIVE.mp3];"/ˈt͡ʃiŋkwe/";"/ˈchin-kwe/";"";""
"seis";"sei";[sound:itIT_NUMBER_SIX.mp3];"/sɛi/";"/say/";"";""
"sete";"sette";[sound:itIT_NUMBER_SEVEN.mp3];"/ˈsɛtte/";"/ˈset-te/";"";""
"oito";"otto";[sound:itIT_NUMBER_EIGHT.mp3];"/ˈɔtto/";"/ˈot-to/";"";""
"nove";"nove";[sound:itIT_NUMBER_NINE.mp3];"/ˈnɔve/";"/ˈno-veh/";"";""
"dez";"dieci";[sound:itIT_NUMBER_TEN.mp3];"/ˈdjɛt͡ʃi/";"/ˈdye-chee/";"";""
