Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Olá!";"どうも！";[sound:jaJP_GREETING_HELLO.mp3];"/doːmo/";"/doo-mo/";"";""
"Tudo bem?";"こんにちは！";[sound:jaJP_GREETING_GOOD_DAY.mp3];"/koɲɲi̥t͡ɕiwa/";"/kon-ni-chi-wa/";"Pergunta informal que serve como cumprimento todo o dia.";""
"Até logo!";"じゃあね！";[sound:jaJP_FAREWELL_BYE.mp3];"/dʑaːne/";"/jaa-neh/";"";""
"De nada!";"いえいえ";[sound:jaJP_POLITENESS_PLEASE.mp3];"/ie̞ ie̞/";"/ee-eh ee-eh/";"Resposta a “obrigado/obrigada”.";"Casual “you’re welcome”. Polite: どういたしまして。"
"Obrigado!";"ありがとう！";[sound:jaJP_POLITENESS_THANK_YOU.mp3];"/aɾi̥ɡaꜜtoː/";"/a-ree-ga-TOH/";"Mulher diz “Obrigada!”.";""
"Muito obrigado!";"どうもありがとう！";[sound:jaJP_POLITENESS_MANY_THANKS.mp3];"/doːmo aɾi̥ɡaꜜtoː/";"/DOH-mo a-ree-ga-TOH/";"";""
"Sim";"はい";[sound:jaJP_CONFIRMATION_YES.mp3];"/hai/";"/hai/";"";""
"Não";"いいえ";[sound:jaJP_CONFIRMATION_NO.mp3];"/iːe/";"/ee-eh/";"";""
"Desculpe";"すみません";[sound:jaJP_POLITENESS_EXCUSE_ME.mp3];"/sɯmimasẽ̞ɴ/";"/su-mi-ma-sen/";"";""
"Chamo-me …";"…です。";[sound:jaJP_INTRODUCTION_MY_NAME.mp3];"/desɯ/";"/dess/";"";""
"Prazer!";"はじめまして！";[sound:jaJP_INTRODUCTION_NICE_TO_MEET.mp3];"/ha̠dʑime̞maɕite̞/";"/ha-ji-me-ma-shte/";"";""
"Como te chamas?";"お名前は？";[sound:jaJP_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/o namae wa/";"/o na-ma-eh wa?/";"Cortês: «Como se chama?»";""
"Não percebo.";"わかりません。";[sound:jaJP_COMMUNICATION_DONT_UNDERSTAND.mp3];"/wakaɾimasẽ̞ɴ/";"/wa-ka-ri-ma-sen/";"";""
"Fala inglês?";"英語、話せますか？";[sound:jaJP_COMMUNICATION_SPEAK_ENGLISH.mp3];"/eːɡo hanase̞masɯka/";"/eh-go ha-na-se-mas-ka?/";"";""
"Mais devagar, se faz favor.";"もう少しゆっくりお願いします。";[sound:jaJP_COMMUNICATION_SPEAK_SLOWER.mp3];"/moː so̞ɕi jɯkːɯɾi one̞ɡaishimasɯ/";"/moh- soo-shi yook-ku-ri o-ne-gai-shi-ma-su/";"";""
"O meu português não é muito bom.";"日本語はあまり上手じゃないです。";[sound:jaJP_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nihoŋɡo wa a̠maɾi d͡ʑoːzɯ d͡ʑa nai desɯ/";"/ni-hon-go wa a-ma-ri jo-zu ja nai dess/";"";""
"Como se diz … em português?";"…は日本語で何と言いますか？";[sound:jaJP_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/wa nihoŋɡo de̞ naɴ to iimasɯka/";"/… wa ni-hon-go de nan to ee-mas-ka?/";"";""
"A ementa, se faz favor.";"メニューお願いします。";[sound:jaJP_REQUEST_MENU.mp3];"/me̞ɲɯː one̞ɡaishimasɯ/";"/me-nyuu o-ne-gai-shi-ma-su/";"";""
"Café";"コーヒー";[sound:jaJP_REQUEST_COFFEE.mp3];"/koːçiː/";"/koo-hee/";"";""
"Água";"お水";[sound:jaJP_REQUEST_WATER.mp3];"/omizu/";"/o-mee-zoo/";"";""
"se faz favor";"お願いします";[sound:jaJP_REQUEST_PLEASE.mp3];"/one̞ɡaishimasɯ/";"/o-ne-gai-shi-ma-su/";"";""
"A conta, se faz favor.";"お会計お願いします。";[sound:jaJP_REQUEST_BILL.mp3];"/o kaikeː one̞ɡaishimasɯ/";"/o kai-kay o-ne-gai-shi-ma-su/";"";""
"Sou vegetariano/a.";"ベジタリアンです。";[sound:jaJP_DINING_VEGETARIAN.mp3];"/bed͡ʑitaɾiaɴ desɯ/";"/be-ji-ta-ri-an dess/";"“-a” para feminino.";""
"Estava delicioso!";"すごくおいしかった！";[sound:jaJP_DINING_DELICIOUS.mp3];"/sɯɡo̞kɯ oi̯ɕikatta/";"/su-go-ku oi-shi-kat-ta/";"";""
"Está mesmo bom!";"めっちゃおいしい！";[sound:jaJP_DINING_YUMMY.mp3];"/met͡ɕːa oi̯ɕiː/";"/met-cha oi-shee/";"";"Casual emphasis; very common."
"Onde fica a estação?";"駅はどこですか？";[sound:jaJP_NAVIGATION_TRAIN_STATION.mp3];"/e̞ki wa do̞ko̞ de̞sɯka/";"/e-ki wa do-ko dess-ka?/";"";""
"Onde fica a casa de banho?";"トイレはどこですか？";[sound:jaJP_NAVIGATION_RESTROOM.mp3];"/toi̯ɾe̞ wa do̞ko̞ de̞sɯka/";"/toi-re wa do-ko dess-ka?/";"";""
"Onde há multibanco?";"ATMはどこですか？";[sound:jaJP_NAVIGATION_ATM.mp3];"/eːtiːe̞mɯ wa do̞ko̞ de̞sɯka/";"/ay-tee-em wa do-ko dess-ka?/";"";""
"Quanto é?";"これ、いくらですか？";[sound:jaJP_SHOPPING_HOW_MUCH.mp3];"/koɾe ikɯɾa de̞sɯka/";"/ko-re, i-ku-ra dess-ka?/";"";""
"Posso pagar com cartão?";"カードで払えますか？";[sound:jaJP_SHOPPING_PAY_BY_CARD.mp3];"/kaːdo̞ de̞ haɾae̞masɯka/";"/kaa-do de ha-ra-eh-mas-ka?/";"";""
"Pago em dinheiro.";"現金で払います。";[sound:jaJP_SHOPPING_PAY_BY_CASH.mp3];"/ɡe̞ŋkiɴ de̞ haɾai̯masɯ/";"/gen-kin de ha-rai-mas/";"";""
"Socorro!";"助けて！";[sound:jaJP_EMERGENCY_HELP.mp3];"/tasɯke̞te̞/";"/ta-su-ke-te/";"";""
"Preciso de um médico!";"お医者さんお願いします！";[sound:jaJP_EMERGENCY_DOCTOR.mp3];"/o iɕa saɴ one̞ɡaishimasɯ/";"/o ee-sha-san o-ne-gai-shi-mas!/";"";""
"Chame a polícia!";"警察を呼んでください！";[sound:jaJP_EMERGENCY_POLICE.mp3];"/keːsatsɯ o jo̞nde̞ kɯɾasai̯/";"/kay-satsu o yon-de ku-ra-sai!/";"";""
"um";"いち";[sound:jaJP_NUMBER_ONE.mp3];"/it͡ɕi/";"/ee-chee/";"";""
"dois";"に";[sound:jaJP_NUMBER_TWO.mp3];"/ni/";"/nee/";"";""
"três";"さん";[sound:jaJP_NUMBER_THREE.mp3];"/saɴ/";"/sahn/";"";""
"quatro";"よん";[sound:jaJP_NUMBER_FOUR.mp3];"/joɴ/";"/yohn/";"";""
"cinco";"ご";[sound:jaJP_NUMBER_FIVE.mp3];"/ɡo/";"/goh/";"";""
"seis";"ろく";[sound:jaJP_NUMBER_SIX.mp3];"/ɾokɯ/";"/ro-ku/";"";""
"sete";"なな";[sound:jaJP_NUMBER_SEVEN.mp3];"/nana/";"/na-na/";"";""
"oito";"はち";[sound:jaJP_NUMBER_EIGHT.mp3];"/hat͡ɕi/";"/ha-chee/";"";""
"nove";"きゅう";[sound:jaJP_NUMBER_NINE.mp3];"/kʲɯː/";"/kyuu/";"";""
"dez";"じゅう";[sound:jaJP_NUMBER_TEN.mp3];"/dʑɯː/";"/jyuu/";"";""
