Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Olá!";"Ç’kemi!";[sound:sqAL_GREETING_HELLO.mp3];"/ˈt͡ʃcemi/";"/ˈche-mi/";"";""
"Tudo bem?";"Përshëndetje!";[sound:sqAL_GREETING_GOOD_DAY.mp3];"/pərʃənˈdɛciem/";"/pər-shən-ˈde-tye/";"Pergunta informal que serve como cumprimento todo o dia.";""
"Até logo!";"Tung!";[sound:sqAL_FAREWELL_BYE.mp3];"/tuŋ/";"/toong/";"";""
"De nada!";"S'ka gjë!";[sound:sqAL_POLITENESS_PLEASE.mp3];"/ska ɟə/";"/ska jyə/";"Resposta a “obrigado/obrigada”.";"Casual “you’re welcome”."
"Obrigado!";"Faleminderit!";[sound:sqAL_POLITENESS_THANK_YOU.mp3];"/falɛminˈdɛɾit/";"/fa-le-min-ˈde-rit/";"Mulher diz “Obrigada!”.";""
"Muito obrigado!";"Shumë faleminderit!";[sound:sqAL_POLITENESS_MANY_THANKS.mp3];"/ʃumə falɛminˈdɛɾit/";"/shoo-mə fa-le-min-ˈde-rit/";"";""
"Sim";"Po";[sound:sqAL_CONFIRMATION_YES.mp3];"/pɔ/";"/po/";"";""
"Não";"Jo";[sound:sqAL_CONFIRMATION_NO.mp3];"/jɔ/";"/yo/";"";""
"Desculpe";"Më fal";[sound:sqAL_POLITENESS_EXCUSE_ME.mp3];"/mə fal/";"/mə fal/";"";"Polite plural: “Më falni”."
"Chamo-me …";"Unë jam …";[sound:sqAL_INTRODUCTION_MY_NAME.mp3];"/ˈunə jam/";"/ˈu-nə yam/";"";""
"Prazer!";"Gëzohem!";[sound:sqAL_INTRODUCTION_NICE_TO_MEET.mp3];"/ɡəˈzɔhɛm/";"/gə-ˈzo-hem/";"";""
"Como te chamas?";"Si quhesh?";[sound:sqAL_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/si ˈcuhɛʃ/";"/see ˈcu-hesh/";"Cortês: «Como se chama?»";"Polite: “Si quheni?”"
"Não percebo.";"S'e kuptoj.";[sound:sqAL_COMMUNICATION_DONT_UNDERSTAND.mp3];"/sə kupˈtɔj/";"/sə kup-ˈtoy/";"";""
"Fala inglês?";"Flisni anglisht?";[sound:sqAL_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈflisni anˈɡliʃt/";"/ˈflees-nee ang-ˈlisht?/";"";""
"Mais devagar, se faz favor.";"Më ngadalë, ju lutem.";[sound:sqAL_COMMUNICATION_SPEAK_SLOWER.mp3];"/mə ŋaˈdalə, ju ˈlutɛm/";"/mə nga-ˈda-lə, yoo ˈlu-tem/";"";""
"O meu português não é muito bom.";"Nuk flas mirë shqip.";[sound:sqAL_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/nuk flas ˈmiɾə ʃcip/";"/nuk flas ˈmee-rə shchip/";"";""
"Como se diz … em português?";"Si thuhet … në shqip?";[sound:sqAL_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/si ˈθuhɛt nə ʃcip/";"/see ˈthu-het nə shchip?/";"";""
"A ementa, se faz favor.";"Menyja, ju lutem.";[sound:sqAL_REQUEST_MENU.mp3];"/mɛˈnyja, ju ˈlutɛm/";"/me-ˈnyah, yoo ˈlu-tem/";"";""
"Café";"Kafe";[sound:sqAL_REQUEST_COFFEE.mp3];"/kaˈfɛ/";"/ka-ˈfeh/";"";""
"Água";"Ujë";[sound:sqAL_REQUEST_WATER.mp3];"/ˈujə/";"/ˈoo-yə/";"";""
"se faz favor";"ju lutem";[sound:sqAL_REQUEST_PLEASE.mp3];"/ju ˈlutɛm/";"/yoo ˈlu-tem/";"";""
"A conta, se faz favor.";"Llogarinë, ju lutem.";[sound:sqAL_REQUEST_BILL.mp3];"/lɔɡaˈɾinə, ju ˈlutɛm/";"/llo-ga-ˈree-nə, yoo ˈlu-tem/";"";""
"Sou vegetariano/a.";"Jam vegjetarian/e.";[sound:sqAL_DINING_VEGETARIAN.mp3];"/jam ved͡ʒetaˈɾian(e)/";"/yam ve-je-ta-ˈryan(-e)/";"“-a” para feminino.";"“-e” for female."
"Estava delicioso!";"Ishte shumë e shijshme!";[sound:sqAL_DINING_DELICIOUS.mp3];"/ˈiʃtɛ ʃum ə ˈʃijʃmə/";"/ˈish-te shoom ə ˈsheesh-mə/";"";""
"Está mesmo bom!";"Është shumë e mirë!";[sound:sqAL_DINING_YUMMY.mp3];"/ˈəʃtə ʃum ə ˈmirə/";"/ˈəsh-tə shoom ə ˈmee-rə/";"";""
