Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"Hiya!";[sound:enGB_GREETING_HELLO.mp3];"/ˈhaɪjə/";"/ˈhai-yə/";"";""
"Përshëndetje!";"Hello!";[sound:enGB_GREETING_GOOD_DAY.mp3];"/həˈləʊ/";"/hə-ˈloh/";"";"Neutral greeting you can use all day."
"Tung!";"Bye!";[sound:enGB_FAREWELL_BYE.mp3];"/baɪ/";"/bai/";"";""
"S'ka gjë!";"No worries!";[sound:enGB_POLITENESS_PLEASE.mp3];"/nəʊ ˈwʌriz/";"/noh ˈwuh-reez/";"Casual “you’re welcome”.";"As a reply to “thanks” (= “you’re welcome”)."
"Faleminderit!";"Thanks!";[sound:enGB_POLITENESS_THANK_YOU.mp3];"/θæŋks/";"/thangks/";"";""
"Shumë faleminderit!";"Thanks a lot!";[sound:enGB_POLITENESS_MANY_THANKS.mp3];"/ˌθæŋks ə ˈlɒt/";"/thanks ə ˈlot/";"";""
"Po";"Yes";[sound:enGB_CONFIRMATION_YES.mp3];"/jɛs/";"/yes/";"";""
"Jo";"No";[sound:enGB_CONFIRMATION_NO.mp3];"/nəʊ/";"/noh/";"";""
"Më fal";"Sorry";[sound:enGB_POLITENESS_EXCUSE_ME.mp3];"/ˈsɒri/";"/ˈso-ree/";"Polite plural: “Më falni”.";"Most common way to get someone’s attention in England."
"Unë jam …";"I'm …";[sound:enGB_INTRODUCTION_MY_NAME.mp3];"/aɪm/";"/aim/";"";""
"Gëzohem!";"Nice to meet you!";[sound:enGB_INTRODUCTION_NICE_TO_MEET.mp3];"/ˌnaɪs tə ˈmiːt juː/";"/nais tə ˈmeet yoo/";"";""
"Si quhesh?";"What's your name?";[sound:enGB_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/wɒts jɔː ˈneɪm/";"/wots yaw ˈnaim/";"Polite: “Si quheni?”";""
"S'e kuptoj.";"I don't get it.";[sound:enGB_COMMUNICATION_DONT_UNDERSTAND.mp3];"/aɪ dəʊnt ɡet ɪt/";"/ai dont get it/";"";""
"Flisni anglisht?";"Do you speak English?";[sound:enGB_COMMUNICATION_SPEAK_ENGLISH.mp3];"/dʊ juː spiːk ˈɪŋɡlɪʃ/";"/du yoo speek ˈing-glish/";"";""
"Më ngadalë, ju lutem.";"Could you speak a bit slower, please?";[sound:enGB_COMMUNICATION_SPEAK_SLOWER.mp3];"/kʊd juː spiːk ə bɪt ˈsləʊə, pliːz/";"/kud yoo speek ə bit ˈsloh-ə, pleez/";"";""
