Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"¡Hola!";[sound:esCO_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Përshëndetje!";"¡Buenas!";[sound:esCO_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"";"Saludo coloquial que funciona todo el día."
"Tung!";"¡Chao!";[sound:esCO_FAREWELL_BYE.mp3];"/ˈt͡ʃao/";"/ˈchao/";"";""
"S'ka gjë!";"Con gusto";[sound:esCO_POLITENESS_PLEASE.mp3];"/koŋ ˈɡusto/";"/kon ˈgus-to/";"Casual “you’re welcome”.";"Respuesta a “gracias” (= “de nada”). Muy común en Colombia."
"Faleminderit!";"Gracias";[sound:esCO_POLITENESS_THANK_YOU.mp3];"/ˈɡɾasjas/";"/ˈgra-syas/";"";""
"Shumë faleminderit!";"¡Mil gracias!";[sound:esCO_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾasjas/";"/mil ˈgra-syas/";"";""
"Po";"Sí";[sound:esCO_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Jo";"No";[sound:esCO_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Më fal";"Perdón";[sound:esCO_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"Polite plural: “Më falni”.";""
"Unë jam …";"Me llamo …";[sound:esCO_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Gëzohem!";"¡Mucho gusto!";[sound:esCO_INTRODUCTION_NICE_TO_MEET.mp3];"/ˈmut͡ʃo ˈɡusto/";"/ˈmu-cho ˈgus-to/";"";""
"Si quhesh?";"¿Cómo te llamas?";[sound:esCO_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Polite: “Si quheni?”";"Formal: «¿Cómo se llama?»"
"S'e kuptoj.";"No entiendo.";[sound:esCO_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Flisni anglisht?";"¿Habla inglés?";[sound:esCO_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβla iŋˈgles/";"/ˈa-bla ing-ˈgles/";"";""
"Më ngadalë, ju lutem.";"¿Puede hablar un poquito más despacio, porfa?";[sound:esCO_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðe aβˈlaɾ un poˈkito mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-de ab-ˈlar un po-ˈkee-to mas des-ˈpa-syo ˈpor-fa/";"";""
"Nuk flas mirë shqip.";"Mi español no es muy bueno.";[sound:esCO_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
