Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"¡Hola!";[sound:esES_GREETING_HELLO.mp3];"/ˈola/";"/ˈo-la/";"";""
"Përshëndetje!";"¡Buenas!";[sound:esES_GREETING_GOOD_DAY.mp3];"/ˈbwenas/";"/ˈbwe-nas/";"";"Saludo coloquial válido todo el día."
"Tung!";"¡Hasta luego!";[sound:esES_FAREWELL_BYE.mp3];"/asta ˈlweɣo/";"/as-ta ˈlwe-go/";"";""
"S'ka gjë!";"De nada";[sound:esES_POLITENESS_PLEASE.mp3];"/de ˈnaða/";"/de ˈna-da/";"Casual “you’re welcome”.";"Respuesta a “gracias” (= “con gusto”)."
"Faleminderit!";"Gracias";[sound:esES_POLITENESS_THANK_YOU.mp3];"/ˈɡɾaθjas/";"/ˈgra-thyas/";"";""
"Shumë faleminderit!";"¡Mil gracias!";[sound:esES_POLITENESS_MANY_THANKS.mp3];"/mil ˈɡɾaθjas/";"/mil ˈgra-thyas/";"";""
"Po";"Sí";[sound:esES_CONFIRMATION_YES.mp3];"/si/";"/si/";"";""
"Jo";"No";[sound:esES_CONFIRMATION_NO.mp3];"/no/";"/no/";"";""
"Më fal";"Perdón";[sound:esES_POLITENESS_EXCUSE_ME.mp3];"/peɾˈðon/";"/per-ˈdon/";"Polite plural: “Më falni”.";""
"Unë jam …";"Me llamo …";[sound:esES_INTRODUCTION_MY_NAME.mp3];"/me ˈʝamo/";"/me ˈya-mo/";"";""
"Gëzohem!";"¡Encantado/a!";[sound:esES_INTRODUCTION_NICE_TO_MEET.mp3];"/eŋkanˈtaðo(a)/";"/en-kan-ˈta-do(-a)/";"";"“Encantado” si eres hombre; “Encantada” si eres mujer."
"Si quhesh?";"¿Cómo te llamas?";[sound:esES_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomo te ˈʝamas/";"/ˈko-mo te ˈya-mas/";"Polite: “Si quheni?”";""
"S'e kuptoj.";"No entiendo.";[sound:esES_COMMUNICATION_DONT_UNDERSTAND.mp3];"/no enˈtjendo/";"/no en-ˈtyen-do/";"";""
"Flisni anglisht?";"¿Hablas inglés?";[sound:esES_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈaβlas iŋˈɡles/";"/ˈa-blas ing-ˈgles/";"";""
"Më ngadalë, ju lutem.";"¿Puedes hablar un poco más despacio, porfa?";[sound:esES_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpweðes aˈβlaɾ un ˈpoko mas ðesˈpasjo ˈpoɾfa/";"/ˈpwe-des a-ˈblar un ˈpo-ko mas des-ˈpa-syo ˈpor-fa/";"";""
"Nuk flas mirë shqip.";"Mi español no es muy bueno.";[sound:esES_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/mi espaˈɲol no es muj ˈbweno/";"/mi es-pa-ˈnyol no es muy ˈbwe-no/";"";""
"Si thuhet … në shqip?";"¿Cómo se dice … en español?";[sound:esES_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkomo se ˈðiθe en espaˈɲol/";"/ˈko-mo se ˈdi-the en es-pa-ˈnyol/";"";""
"Menyja, ju lutem.";"La carta, porfa.";[sound:esES_REQUEST_MENU.mp3];"/la ˈkaɾta ˈpoɾfa/";"/la ˈkar-ta ˈpor-fa/";"";""
"Kafe";"Café";[sound:esES_REQUEST_COFFEE.mp3];"/kaˈfe/";"/ka-ˈfe/";"";""
"Ujë";"Agua";[sound:esES_REQUEST_WATER.mp3];"/ˈaɣwa/";"/ˈa-gwa/";"";""
"ju lutem";"porfa";[sound:esES_REQUEST_PLEASE.mp3];"/ˈpoɾfa/";"/ˈpor-fa/";"";"Forma coloquial de «por favor» muy usada en España."
"Llogarinë, ju lutem.";"La cuenta, porfa.";[sound:esES_REQUEST_BILL.mp3];"/la ˈkwenta ˈpoɾfa/";"/la ˈkwen-ta ˈpor-fa/";"";""
"Jam vegjetarian/e.";"Soy vegetariano/a.";[sound:esES_DINING_VEGETARIAN.mp3];"/soj βegetaˈɾjano(a)/";"/soy ve-he-ta-ˈrya-no(-a)/";"“-e” for female.";"“-a” para femenino."
"Ishte shumë e shijshme!";"¡Estaba riquísimo!";[sound:esES_DINING_DELICIOUS.mp3];"/esˈtaβa riˈkisimo/";"/es-ˈta-ba ree-ˈkee-see-mo/";"";""
"Është shumë e mirë!";"¡Está muy rico!";[sound:esES_DINING_YUMMY.mp3];"/esˈta muj ˈriko/";"/es-ˈta muy ˈree-ko/";"";""
