Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"Ciao!";[sound:itIT_GREETING_HELLO.mp3];"/ˈt͡ʃa.o/";"/ˈcha-o/";"";""
"Përshëndetje!";"Buongiorno!";[sound:itIT_GREETING_GOOD_DAY.mp3];"/bwɔnˈdʒorno/";"/bwon-ˈjor-no/";"";""
"Tung!";"A dopo!";[sound:itIT_FAREWELL_BYE.mp3];"/a ˈdɔpo/";"/a ˈdo-po/";"";""
"S'ka gjë!";"Prego!";[sound:itIT_POLITENESS_PLEASE.mp3];"/ˈprɛɡo/";"/ˈpre-go/";"Casual “you’re welcome”.";"Reply to “grazie”."
"Faleminderit!";"Grazie!";[sound:itIT_POLITENESS_THANK_YOU.mp3];"/ˈɡrat.t͡sje/";"/ˈgra-tsye/";"";""
"Shumë faleminderit!";"Grazie mille!";[sound:itIT_POLITENESS_MANY_THANKS.mp3];"/ˈɡrat.t͡sje ˈmille/";"/ˈgra-tsye ˈmil-le/";"";""
"Po";"Sì";[sound:itIT_CONFIRMATION_YES.mp3];"/si/";"/see/";"";""
"Jo";"No";[sound:itIT_CONFIRMATION_NO.mp3];"/nɔ/";"/noh/";"";""
"Më fal";"Scusa";[sound:itIT_POLITENESS_EXCUSE_ME.mp3];"/ˈskuːza/";"/ˈskuu-za/";"Polite plural: “Më falni”.";"Informal; polite: “Scusi”."
"Unë jam …";"Mi chiamo …";[sound:itIT_INTRODUCTION_MY_NAME.mp3];"/mi ˈkjamo/";"/mi ˈkya-mo/";"";""
"Gëzohem!";"Piacere!";[sound:itIT_INTRODUCTION_NICE_TO_MEET.mp3];"/pjaˈt͡ʃeːre/";"/pya-ˈche-re/";"";""
"Si quhesh?";"Come ti chiami?";[sound:itIT_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkome ti ˈkjami/";"/ˈko-me ti ˈkya-mi/";"Polite: “Si quheni?”";""
"S'e kuptoj.";"Non capisco.";[sound:itIT_COMMUNICATION_DONT_UNDERSTAND.mp3];"/non kaˈpisko/";"/non ka-ˈpees-ko/";"";""
"Flisni anglisht?";"Parla inglese?";[sound:itIT_COMMUNICATION_SPEAK_ENGLISH.mp3];"/ˈparla iŋˈɡleze/";"/ˈpar-la ing-ˈle-ze/";"";""
"Më ngadalë, ju lutem.";"Un po' più piano, per favore.";[sound:itIT_COMMUNICATION_SPEAK_SLOWER.mp3];"/um pɔ pjʊ ˈpjano per faˈvoːre/";"/oon po pyoo ˈpya-no, per fa-ˈvo-re/";"";""
"Nuk flas mirë shqip.";"Il mio italiano non è granché.";[sound:itIT_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/il ˈmi.o italiˈaːno non ɛ ɡraŋˈke/";"/il ˈmee-o ee-ta-lya-no non eh gran-ˈkeh/";"";""
"Si thuhet … në shqip?";"Come si dice … in italiano?";[sound:itIT_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/ˈkome si ˈdit͡ʃe in italiˈaːno/";"/ˈko-me see ˈdee-che in ee-ta-lya-no/";"";""
