Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Ç’kemi!";"Oi!";[sound:ptBR_GREETING_HELLO.mp3];"/oj/";"/oy/";"";""
"Përshëndetje!";"Olá!";[sound:ptBR_GREETING_GOOD_DAY.mp3];"/oˈla/";"/o-ˈla/";"";""
"Tung!";"Tchau!";[sound:ptBR_FAREWELL_BYE.mp3];"/tʃaw/";"/chow/";"";""
"S'ka gjë!";"Imagina!";[sound:ptBR_POLITENESS_PLEASE.mp3];"/imaˈʒina/";"/ee-ma-ˈzhee-na/";"Casual “you’re welcome”.";"Very common reply to “obrigado(a)”. Also “De nada!”."
"Faleminderit!";"Obrigado!";[sound:ptBR_POLITENESS_THANK_YOU.mp3];"/oβɾiˈɡadu/";"/o-bree-ˈga-doo/";"";"Female says “Obrigada!”."
"Shumë faleminderit!";"Muito obrigado!";[sound:ptBR_POLITENESS_MANY_THANKS.mp3];"/ˈmũjtu oβɾiˈɡadu/";"/ˈmwin-too o-bree-ˈga-doo/";"";""
"Po";"Sim";[sound:ptBR_CONFIRMATION_YES.mp3];"/sĩ/";"/seeng~/";"";""
"Jo";"Não";[sound:ptBR_CONFIRMATION_NO.mp3];"/nɐ̃w̃/";"/nah-oong~/";"";""
"Më fal";"Com licença";[sound:ptBR_POLITENESS_EXCUSE_ME.mp3];"/kõ liˈsẽsɐ/";"/koh lee-ˈsen-sa/";"Polite plural: “Më falni”.";""
"Unë jam …";"Eu sou …";[sound:ptBR_INTRODUCTION_MY_NAME.mp3];"/ew sow/";"/eh-oo soh/";"";""
"Gëzohem!";"Prazer!";[sound:ptBR_INTRODUCTION_NICE_TO_MEET.mp3];"/pɾaˈzeɾ/";"/pra-ˈzehr/";"";""
"Si quhesh?";"Como você se chama?";[sound:ptBR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ˈkomu voˈse si ˈʃɐmɐ/";"/ˈko-moo vo-ˈseh si ˈsha-ma/";"Polite: “Si quheni?”";""
"S'e kuptoj.";"Não entendi.";[sound:ptBR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/nɐ̃w̃ ẽtẽˈdʒi/";"/nau en-ten-JEE/";"";""
"Flisni anglisht?";"Você fala inglês?";[sound:ptBR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/voˈse ˈfalɐ ĩˈɡlejs/";"/vo-ˈseh ˈfa-la ing-ˈglays?/";"";""
"Më ngadalë, ju lutem.";"Pode falar mais devagar, por favor?";[sound:ptBR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ˈpɔdʒi faˈlaʁ majʒ dʒevaˈɡaʁ poʁ faˈvoʁ/";"/POH-jee fa-ˈlar mys je-va-ˈgar, por fa-ˈvor?/";"";""
