Source;Target;Audio;Pronunciation (IPA);Pronunciation (Simplified);Source Notes;Target Notes
"Merhaba!";"Salut !";[sound:frFR_GREETING_HELLO.mp3];"/saly/";"/sa-ly/";"";""
"Selam!";"Bonjour !";[sound:frFR_GREETING_GOOD_DAY.mp3];"/bɔ̃ʒuʁ/";"/bon-ˈʒur/";"Gün boyu kullanılabilir, samimi selam.";"Usable all daytime."
"Görüşürüz!";"À plus !";[sound:frFR_FAREWELL_BYE.mp3];"/a ply/";"/a plu/";"";""
"Rica ederim";"De rien !";[sound:frFR_POLITENESS_PLEASE.mp3];"/də ʁjɛ̃/";"/də ryehn/";"Teşekküre cevap (= “bir şey değil”).";"Reply to “merci”."
"Teşekkürler!";"Merci !";[sound:frFR_POLITENESS_THANK_YOU.mp3];"/mɛʁsi/";"/mer-see/";"";""
"Çok teşekkürler!";"Merci beaucoup !";[sound:frFR_POLITENESS_MANY_THANKS.mp3];"/mɛʁsi boˈku/";"/mer-see bo-ˈkoo/";"";""
"Evet";"Oui";[sound:frFR_CONFIRMATION_YES.mp3];"/wi/";"/wee/";"";""
"Hayır";"Non";[sound:frFR_CONFIRMATION_NO.mp3];"/nɔ̃/";"/noh~/";"";""
"Pardon";"Pardon";[sound:frFR_POLITENESS_EXCUSE_ME.mp3];"/paʁdɔ̃/";"/par-don~/";"";""
"Ben …";"Je m’appelle …";[sound:frFR_INTRODUCTION_MY_NAME.mp3];"/ʒə mapɛl/";"/zhə ma-pel/";"";""
"Memnun oldum!";"Enchanté(e) !";[sound:frFR_INTRODUCTION_NICE_TO_MEET.mp3];"/ɑ̃ʃɑ̃te/";"/on-shon-ˈteh/";"";"Add (e) if you’re female."
"Adın ne?";"Tu t’appelles comment ?";[sound:frFR_INTRODUCTION_WHATS_YOUR_NAME.mp3];"/ty tapɛl kɔmɑ̃/";"/tu ta-pel ko-mon~/";"Nazik: “Adınız ne?”";""
"Anlamadım.";"Je comprends pas.";[sound:frFR_COMMUNICATION_DONT_UNDERSTAND.mp3];"/ʒə kɔ̃pʁɑ̃ pa/";"/zhə kon~-pran~ pa/";"";""
"İngilizce biliyor musunuz?";"Vous parlez anglais ?";[sound:frFR_COMMUNICATION_SPEAK_ENGLISH.mp3];"/vu paʁle ɑ̃ɡlɛ/";"/voo par-lay on-glay?/";"";""
"Biraz daha yavaş konuşur musunuz, lütfen?";"Plus lentement, s’il vous plaît.";[sound:frFR_COMMUNICATION_SPEAK_SLOWER.mp3];"/ply lɑ̃tmɑ̃ sil vu plɛ/";"/plü lon~-tmon~ seel voo pleh/";"";""
"Türkçem çok iyi değil.";"Je parle pas très bien français.";[sound:frFR_COMMUNICATION_LIMITED_LANGUAGE.mp3];"/ʒə paʁl pa tʁɛ bjɛ̃ fʁɑ̃sɛ/";"/zhə parl pa tre byehn fron-seh/";"";""
"… Türkçe nasıl denir?";"Comment on dit … en français ?";[sound:frFR_COMMUNICATION_HOW_DO_YOU_SAY.mp3];"/kɔmɑ̃ ɔ̃ di ɑ̃ fʁɑ̃sɛ/";"/ko-mon~ on dee on fron-seh?/";"";""
"Menü lütfen.";"La carte, s’il vous plaît.";[sound:frFR_REQUEST_MENU.mp3];"/la kaʁt sil vu plɛ/";"/la kart seel voo pleh/";"";""
