Source;Target;Audio;Source Notes;Target Notes
"Hallo!";"Përshëndetje!";[sound:audio/sqAL/GREETING_HELLO.mp3];"";""
"Guten Tag!";"Mirëmëngjes!";[sound:audio/sqAL/GREETING_GOOD_DAY.mp3];"";""
"Tschüss!";"Mirupafshim!";[sound:audio/sqAL/FAREWELL_BYE.mp3];"";""
"Bitte";"Ju lutem";[sound:audio/sqAL/POLITENESS_PLEASE.mp3];"";""
"Danke!";"Faleminderit!";[sound:audio/sqAL/POLITENESS_THANK_YOU.mp3];"";""
"Vielen Dank!";"Shumë faleminderit";[sound:audio/sqAL/POLITENESS_MANY_THANKS.mp3];"";""
"Ja";"Po";[sound:audio/sqAL/CONFIRMATION_YES.mp3];"";""
"Nein";"Jo";[sound:audio/sqAL/CONFIRMATION_NO.mp3];"";""
"Entschuldigung";"Më falni";[sound:audio/sqAL/POLITENESS_EXCUSE_ME.mp3];"";""
"Ich heiße...";"Unë quhem...";[sound:audio/sqAL/INTRODUCTION_MY_NAME.mp3];"";""
"Freut mich!";"Gëzohem që u njohëm";[sound:audio/sqAL/INTRODUCTION_NICE_TO_MEET.mp3];"";""
"Wie heißt du?";"Si quheni ju?";[sound:audio/sqAL/INTRODUCTION_WHATS_YOUR_NAME.mp3];"Informal. Formal: Wie heißen Sie?";""
"Ich verstehe das nicht.";"Nuk kuptoj.";[sound:audio/sqAL/COMMUNICATION_DONT_UNDERSTAND.mp3];"";""
"Sprechen Sie Englisch?";"A flisni anglisht?";[sound:audio/sqAL/COMMUNICATION_SPEAK_ENGLISH.mp3];"";""
"Können Sie bitte langsamer sprechen?";"Mund të flisni më ngadalë, ju lutem?";[sound:audio/sqAL/COMMUNICATION_SPEAK_SLOWER.mp3];"";""
"Ich spreche nicht so gut Deutsch.";"Nuk flas shumë shqip.";[sound:audio/sqAL/COMMUNICATION_LIMITED_LANGUAGE.mp3];"";""
"Wie sagt man ... auf Deutsch?";"Si thuhet ... në shqip?";[sound:audio/sqAL/COMMUNICATION_HOW_DO_YOU_SAY.mp3];"";""
"Kann ich bitte die Karte haben?";"Menunë, ju lutem.";[sound:audio/sqAL/REQUEST_MENU.mp3];"";""
"Einen Kaffee, bitte.";"Një kafe, ju lutem.";[sound:audio/sqAL/REQUEST_COFFEE.mp3];"";""
"Wir möchten bitte zahlen.";"Llogarinë, ju lutem.";[sound:audio/sqAL/REQUEST_BILL.mp3];"";""
"Ich bin Vegetarier.";"Unë jam vegjetarian.";[sound:audio/sqAL/DINING_VEGETARIAN.mp3];"(f) Ich bin Vegetarierin.";"(f) Unë jam vegjetariane."
"Es hat sehr gut geschmeckt!";"Ishte shumë e shijshme!";[sound:audio/sqAL/DINING_DELICIOUS.mp3];"nach dem Essen";"pas ngrënies"
"Das ist lecker!";"Sa e shijshme!";[sound:audio/sqAL/DINING_YUMMY.mp3];"während des Essens";"gjatë ngrënies"
"Entschuldigung, wo ist der Bahnhof?";"Ku është stacioni i trenit?";[sound:audio/sqAL/NAVIGATION_TRAIN_STATION.mp3];"";""
"Wo ist die Toilette, bitte?";"Ku është banja?";[sound:audio/sqAL/NAVIGATION_RESTROOM.mp3];"";""
"Wo ist der nächste Geldautomat?";"Ku është bankomati më i afërt?";[sound:audio/sqAL/NAVIGATION_ATM.mp3];"";""
"Was kostet das?";"Sa kushton?";[sound:audio/sqAL/SHOPPING_HOW_MUCH.mp3];"";""
"Kann ich mit Karte zahlen?";"Mund të paguaj me kartë?";[sound:audio/sqAL/SHOPPING_PAY_BY_CARD.mp3];"";""
"Ich würde gerne bar bezahlen.";"Dua të paguaj me para në dorë.";[sound:audio/sqAL/SHOPPING_PAY_BY_CASH.mp3];"";""
"Hilfe!";"Ndihmë!";[sound:audio/sqAL/EMERGENCY_HELP.mp3];"";""
"Ich brauche einen Arzt!";"Kam nevojë për një mjek!";[sound:audio/sqAL/EMERGENCY_DOCTOR.mp3];"";""
"Rufen Sie die Polizei!";"Thirrni policinë!";[sound:audio/sqAL/EMERGENCY_POLICE.mp3];"";""
"eins";"një";[sound:audio/sqAL/NUMBER_ONE.mp3];"";""
"zwei";"dy";[sound:audio/sqAL/NUMBER_TWO.mp3];"";""
"drei";"tre";[sound:audio/sqAL/NUMBER_THREE.mp3];"";""
"vier";"katër";[sound:audio/sqAL/NUMBER_FOUR.mp3];"";""
"fünf";"pesë";[sound:audio/sqAL/NUMBER_FIVE.mp3];"";""
"sechs";"gjashtë";[sound:audio/sqAL/NUMBER_SIX.mp3];"";""
"sieben";"shtatë";[sound:audio/sqAL/NUMBER_SEVEN.mp3];"";""
"acht";"tetë";[sound:audio/sqAL/NUMBER_EIGHT.mp3];"";""
"neun";"nëntë";[sound:audio/sqAL/NUMBER_NINE.mp3];"";""
"zehn";"dhjetë";[sound:audio/sqAL/NUMBER_TEN.mp3];"";""
